,18-Feb-2020
The Nifty witnessed an intraday movement of about 122.7 points.The closing index was 0.44 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 38178.69
, Traded Quantity (in Lakhs), 23366.72
, Number of Trades, 12692226
, Total Market Capitalisation (Rs. Crores), 15524810.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12045.80,     12028.25,     12030.75,     11908.05,     11992.50,-53.3
,NIFTY50 EQL Wgt,     12149.65,     12131.85,     12131.85,     11963.10,     12070.10,-79.55
,NIFTY100 EQL Wgt,     13129.25,     13102.50,     13102.50,     12916.00,     13042.05,-87.2
,NIFTY100 LowVol30,      8881.40,      8873.00,      8885.35,      8791.00,      8867.55,-13.85
,NIFTY Alpha 50,     14133.00,     14137.65,     14144.00,     13944.50,     14100.30,-32.7
,NIFTY MIDCAP 150,      6630.65,      6622.15,      6623.25,      6529.60,      6592.60,-38.05
,NIFTY SMLCAP 50,      2913.50,      2910.85,      2912.60,      2864.40,      2902.70,-10.8
,NIFTY SMLCAP 250,      5139.90,      5135.15,      5138.20,      5049.70,      5113.80,-26.1
,NIFTY MIDSML 400,      6097.20,      6090.05,      6091.65,      6000.95,      6063.50,-33.7
,NIFTY200 QUALTY30,      9939.30,      9933.65,      9943.65,      9845.70,      9925.45,-13.85
,Nifty IT,     16647.70,     16586.90,     16773.20,     16526.40,     16748.75,101.05
,Nifty Next 50,     28169.60,     28116.45,     28116.45,     27750.75,     28060.35,-109.25
,Nifty Bank,     30680.70,     30661.50,     30692.75,     30252.45,     30562.50,-118.2
,NIFTY MIDCAP 100,     17824.90,     17794.75,     17799.20,     17560.75,     17725.60,-99.3
,Nifty 500,      9891.00,      9876.70,      9877.60,      9768.45,      9845.55,-45.45
,Nifty 100,     12152.00,     12133.60,     12134.45,     12009.55,     12098.90,-53.1
,Nifty Midcap 50,      4847.50,      4836.00,      4836.60,      4762.20,      4823.25,-24.25
,Nifty Realty,       305.70,       304.60,       305.35,       300.35,       302.85,-2.85
,Nifty Infra,      3247.55,      3242.20,      3242.20,      3194.10,      3229.70,-17.85
,Nifty Energy,     14816.45,     14782.45,     14826.60,     14568.60,     14789.85,-26.6
,Nifty FMCG,     30481.05,     30463.00,     30471.35,     30076.65,     30360.60,-120.45
,Nifty MNC,     14057.90,     14055.30,     14057.55,     13876.45,     13995.30,-62.6
,Nifty Pharma,      8204.85,      8190.85,      8213.00,      8068.20,      8198.30,-6.55
,Nifty PSE,      2918.70,      2906.75,      2934.40,      2855.05,      2919.35,.65
,Nifty PSU Bank,      2145.65,      2145.50,      2145.85,      2074.55,      2128.20,-17.45
,Nifty Serv Sector,     17387.45,     17360.00,     17367.80,     17201.25,     17330.15,-57.3
,India VIX,14.4150,14.4150,14.8200,11.3750,14.5100,0.0950
,Nifty Auto,      7770.50,      7758.00,      7758.00,      7620.50,      7692.30,-78.2
,Nifty Metal,      2586.70,      2572.40,      2573.30,      2514.00,      2556.05,-30.65
,Nifty Media,      1812.25,      1840.20,      1851.15,      1820.55,      1845.90,33.65
,NIFTY SMLCAP 100,      6081.00,      6076.85,      6080.55,      5972.35,      6059.70,-21.3
,Nifty 200,      6230.40,      6220.80,      6221.35,      6155.90,      6202.30,-28.1
,Nifty Div Opps 50,      2482.55,      2475.15,      2482.85,      2448.20,      2478.05,-4.5
,Nifty Commodities,      3300.15,      3291.95,      3292.55,      3229.35,      3278.55,-21.6
,Nifty Consumption,      5132.30,      5127.75,      5127.75,      5057.80,      5101.55,-30.75
,Nifty Fin Service,     14370.25,     14356.30,     14367.35,     14214.05,     14315.70,-54.55
,Nifty50 Div Point,       123.38,       123.38,       123.38,       123.38,       123.38,0
,Nifty100 Liq 15,      3608.90,      3607.35,      3607.65,      3532.50,      3577.75,-31.15
,Nifty CPSE,      1611.40,      1602.45,      1626.75,      1564.10,      1611.60,.2
,Nifty GrowSect 15,      6241.15,      6234.75,      6236.10,      6154.45,      6197.85,-43.3
,Nifty50 PR 2x Lev,      5131.75,      5116.10,      5116.65,      5013.90,      5085.65,-46.1
,Nifty50 PR 1x Inv,       389.90,       390.50,       394.40,       390.50,       391.65,1.75
,Nifty50 TR 2x Lev,      6677.00,      6656.65,      6657.35,      6523.65,      6617.00,-60
,Nifty50 TR 1x Inv,       341.90,       342.40,       345.85,       342.40,       343.45,1.55
,Nifty50 Value 20,      5492.20,      5479.95,      5511.30,      5437.65,      5500.00,7.8
,Nifty Mid Liq 15,      4179.65,      4171.85,      4178.85,      4106.45,      4169.10,-10.55
,Nifty Pvt Bank,     16808.85,     16790.40,     16807.85,     16538.05,     16689.40,-119.45
,NIFTY100 Qualty30,      2723.80,      2721.55,      2721.55,      2693.90,      2715.55,-8.25
,Nifty GS 8 13Yr,      2073.45,      2073.83,      2074.78,      2071.68,      2073.14,-.31
,Nifty GS 10Yr,      1905.06,      1905.39,      1906.41,      1902.61,      1905.62,.56
,Nifty GS 10Yr Cln,       954.95,       954.95,       955.47,       953.52,       955.07,.12
,Nifty GS 4 8Yr,      2202.65,      2203.06,      2203.58,      2200.58,      2202.99,.34
,Nifty GS 11 15Yr,      2234.36,      2234.79,      2235.21,      2231.93,      2233.76,-.6
,Nifty GS 15YrPlus,      2408.84,      2409.30,      2411.72,      2409.30,      2411.72,2.88
,Nifty GS Compsite,      2111.14,      2111.53,      2111.85,      2109.37,      2111.26,.12

,ADVANCES,631
,DECLINES,1236
,UNCHANGED,113

,Total securities that have hit their price bands today,333

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MUTHOOTFIN,EQ,       873.90,       869.30,-0.53,1690.48
,INDUSINDBK,EQ,      1172.95,      1140.70,-2.75,1266.17
,SBIN,EQ,       314.20,       317.55,1.07,1209.6
,IRCTC,EQ,      1518.65,      1638.60,7.9,1204.07
,BHARTIARTL,EQ,       564.85,       548.25,-2.94,1184.14
,ICICIBANK,EQ,       541.60,       541.20,-0.07,859.6
,TATAMOTORS,EQ,       169.10,       161.60,-4.44,855.78
,YESBANK,EQ,        37.15,        35.05,-5.65,796.09
,RELIANCE,EQ,      1478.25,      1467.40,-0.73,745.56
,LICHSGFIN,EQ,       379.85,       363.95,-4.19,662.19
,HDFCBANK,EQ,      1217.15,      1213.25,-0.32,636.79
,IBULHSGFIN,EQ,       307.75,       300.05,-2.5,566.81
,MARUTI,EQ,      6906.75,      6781.10,-1.82,563.75
,TCS,EQ,      2203.25,      2215.75,0.57,548.98
,HDFC,EQ,      2350.25,      2318.80,-1.34,544.22
,INFRATEL,EQ,       235.00,       210.00,-10.64,512.01
,TATASTEEL,EQ,       436.85,       431.40,-1.25,490.9
,DMART,EQ,      2339.45,      2364.90,1.09,473.34
,COALINDIA,EQ,       167.85,       171.85,2.38,465.95
,ITC,EQ,       204.80,       203.85,-0.46,423.05
,INFY,EQ,       789.45,       797.65,1.04,403.25
,AXISBANK,EQ,       738.40,       733.65,-0.64,381.04
,KOTAKBANK,EQ,      1691.10,      1691.00,-0.01,374.81
,NTPC,EQ,       110.30,       109.60,-0.63,372.17
,ONGC,EQ,        99.95,        99.30,-0.65,349.13

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       245.60,       239.20,2.68
,COALINDIA,EQ,       171.85,       167.85,2.38
,BPCL,EQ,       470.75,       461.65,1.97
,GAIL,EQ,       119.45,       118.00,1.23
,EICHERMOT,EQ,     18760.35,     18535.90,1.21

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       210.00,       235.00,-10.64
,YESBANK,EQ,        35.05,        37.15,-5.65
,TATAMOTORS,EQ,       161.60,       169.10,-4.44
,HINDALCO,EQ,       184.35,       190.25,-3.1
,BHARTIARTL,EQ,       548.25,       564.85,-2.94

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.95,                   607667.25,18324
,21STCENMGM,EQ,        12.65,                    12688.20,1003
,3IINFOTECH,EQ,         2.05,                  2198684.15,1080977
,3MINDIA,EQ,     22095.35,                 81914002.65,3707
,3PLAND,EQ,         4.75,                     4965.50,998
,5PAISA,EQ,       187.25,                  1901181.55,10270
,63MOONS,EQ,       101.70,                 11473258.70,111757
,757GS2033,GS,       104.00,                    10400.00,100
,769GS2043,GS,       101.00,                     9999.00,99
,A2ZINFRA,EQ,         4.90,                  1240347.05,255843
,AARON,SM,        48.50,                   160050.00,3300
,AARTIDRUGS,EQ,       637.20,                 17346966.40,27257
,AARTIIND,EQ,       996.10,                304464846.30,310879
,AARVEEDEN,EQ,        13.75,                   344844.15,25999
,AARVI,SM,        20.95,                    41900.00,2000
,AAVAS,EQ,      1934.90,                 97990706.15,51111
,ABAN,EQ,        21.90,                  1854656.20,84083
,ABB,EQ,      1205.10,                 50190266.20,41542
,ABBOTINDIA,EQ,     15452.60,                315503824.65,21074
,ABCAPITAL,EQ,        88.55,                118506555.55,1367363
,ABFRL,EQ,       261.85,                177421038.45,671222
,ABINFRA,SM,        12.45,                    99600.00,8000
,ABSLBANETF,EQ,       302.09,                     5156.14,17
,ABSLNN50ET,EQ,       281.31,                  1068429.80,3837
,ABSLRIF6RG,MF,         7.25,                    26837.50,3720
,ACCELYA,EQ,      1051.70,                 11977262.85,11432
,ACCURACY,SM,        24.70,                   118080.00,4800
,ACE,EQ,        76.55,                  3796750.20,49431
,ADANIENT,EQ,       249.45,                603478945.50,2430446
,ADANIGAS,EQ,       164.25,                 96482582.55,585429
,ADANIGREEN,EQ,       189.25,                160435389.55,839722
,ADANIPOWER,EQ,        56.75,                508190013.55,9016531
,ADANITRANS,EQ,       301.20,                 44652634.25,147376
,ADFFOODS,EQ,       297.20,                  6162110.40,20775
,ADHUNIKIND,EQ,        35.50,                  5363266.80,150820
,ADLABS,BE,         3.40,                    91394.60,26434
,ADORWELD,EQ,       309.65,                  2279004.70,7449
,ADROITINFO,BE,         5.50,                      198.00,36
,ADSL,BE,        20.60,                   500976.65,24152
,ADVANIHOTR,EQ,        56.40,                   148095.30,2623
,ADVENZYMES,EQ,       159.00,                  5988870.80,37733
,AEGISCHEM,EQ,       255.80,                 95403944.55,377349
,AFFLE,EQ,      2042.95,                545073738.55,273166
,AGARIND,EQ,        76.40,                  1385967.20,17865
,AGCNET,EQ,       357.80,                 16122549.30,44903
,AGRITECH,EQ,        41.75,                   344082.10,8295
,AGROPHOS,EQ,        12.35,                    10942.10,886
,AHLADA,SM,        58.55,                   246850.00,4000
,AHLEAST,EQ,       185.05,                    57836.30,315
,AHLUCONT,EQ,       319.85,                  1121016.05,3530
,AHLWEST,EQ,       369.15,                  1120928.10,3063
,AIAENG,EQ,      1804.95,                200242256.80,111837
,AIONJSW,EQ,        15.50,                  1683157.15,109202
,AIRAN,EQ,        12.25,                   309451.95,24761
,AIROLAM,SM,        25.65,                   230850.00,9000
,AJANTPHARM,EQ,      1298.75,                368469751.60,284090
,AJMERA,EQ,       113.05,                  2230863.00,19805
,AJOONI,SM,         9.65,                    38600.00,4000
,AKASH,BE,        96.00,                       96.00,1
,AKSHARCHEM,EQ,       318.20,                 20954189.80,66086
