,20-Jul-2020
The Nifty witnessed an intraday movement of about 84.9 points.The closing index was 1.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 56333.16
, Traded Quantity (in Lakhs), 30991.89
, Number of Trades, 16786370
, Total Market Capitalisation (Rs. Crores), 14506297.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10901.70,     10999.45,     11037.90,     10953.00,     11022.20,120.5
,NIFTY50 EQL Wgt,     11081.80,     11150.05,     11198.95,     11096.40,     11185.90,104.1
,NIFTY100 EQL Wgt,     12183.05,     12253.05,     12295.40,     12207.45,     12282.05,99
,NIFTY100 LowVol30,      8741.85,      8796.30,      8858.70,      8759.55,      8844.40,102.55
,NIFTY Alpha 50,     14350.70,     14409.15,     14527.40,     14408.50,     14497.60,146.9
,NIFTY MIDCAP 150,      5791.25,      5819.40,      5859.30,      5817.40,      5845.10,53.85
,NIFTY SMLCAP 50,      2281.20,      2298.15,      2312.65,      2294.10,      2308.75,27.55
,NIFTY SMLCAP 250,      4239.95,      4269.50,      4285.10,      4261.35,      4279.40,39.45
,NIFTY MIDSML 400,      5233.60,      5262.40,      5291.90,      5259.50,      5282.25,48.65
,NIFTY200 QUALTY30,      9694.80,      9758.20,      9844.15,      9726.25,      9825.80,131
,Nifty IT,     16821.35,     16880.35,     17376.15,     16849.15,     17258.30,436.95
,Nifty Next 50,     26375.80,     26505.15,     26598.75,     26409.70,     26525.75,149.95
,Nifty Bank,     21966.80,     22307.30,     22520.45,     22187.80,     22321.85,355.05
,NIFTY MIDCAP 100,     15242.30,     15321.60,     15422.90,     15312.20,     15388.55,146.25
,Nifty 500,      8895.30,      8965.25,      8994.95,      8938.10,      8985.10,89.8
,Nifty 100,     11045.85,     11138.50,     11174.35,     11094.05,     11159.45,113.6
,Nifty Midcap 50,      4248.15,      4277.70,      4301.30,      4265.85,      4282.65,34.5
,Nifty Realty,       196.40,       197.15,       199.65,       196.90,       197.25,.85
,Nifty Infra,      3091.85,      3108.05,      3113.90,      3089.60,      3104.25,12.4
,Nifty Energy,     14942.25,     14985.30,     15044.20,     14887.50,     14936.00,-6.25
,Nifty FMCG,     31439.30,     31571.40,     31598.60,     31284.05,     31536.35,97.05
,Nifty MNC,     13599.40,     13693.20,     13731.00,     13633.90,     13703.10,103.7
,Nifty Pharma,     10472.15,     10495.15,     10495.15,     10283.25,     10304.60,-167.55
,Nifty PSE,      2507.65,      2524.25,      2530.35,      2504.65,      2510.85,3.2
,Nifty PSU Bank,      1431.60,      1443.85,      1461.55,      1437.00,      1442.00,10.4
,Nifty Serv Sector,     14414.65,     14605.80,     14698.60,     14556.85,     14667.25,252.6
,India VIX,24.1575,24.1575,25.1200,24.1575,24.7125,0.5550
,Nifty Auto,      7137.30,      7161.70,      7183.20,      7105.55,      7175.85,38.55
,Nifty Metal,      2103.00,      2115.45,      2122.80,      2094.60,      2106.00,3
,Nifty Media,      1336.60,      1350.55,      1357.50,      1337.70,      1343.90,7.3
,NIFTY SMLCAP 100,      4851.95,      4884.50,      4915.10,      4876.75,      4907.95,56
,Nifty 200,      5626.00,      5671.30,      5690.35,      5651.85,      5683.45,57.45
,Nifty Div Opps 50,      2381.35,      2390.35,      2406.45,      2383.20,      2401.55,20.2
,Nifty Commodities,      2942.70,      2954.25,      2971.30,      2945.10,      2957.95,15.25
,Nifty Consumption,      4949.85,      4970.50,      4991.20,      4943.75,      4985.50,35.65
,Nifty Fin Service,     10915.70,     11110.70,     11173.00,     11042.40,     11093.20,177.5
,Nifty50 Div Point,        31.16,        31.16,        31.16,        31.16,        31.16,0
,Nifty100 Liq 15,      2681.25,      2697.00,      2702.90,      2678.00,      2697.85,16.6
,Nifty CPSE,      1408.65,      1420.00,      1420.90,      1406.70,      1409.10,.45
,Nifty GrowSect 15,      5390.55,      5452.55,      5458.95,      5412.20,      5437.60,47.05
,Nifty50 PR 2x Lev,      3787.50,      3854.35,      3880.80,      3822.35,      3870.15,82.65
,Nifty50 PR 1x Inv,       401.85,       398.35,       400.05,       396.95,       397.50,-4.35
,Nifty50 TR 2x Lev,      4987.90,      5075.95,      5110.75,      5033.80,      5096.75,108.85
,Nifty50 TR 1x Inv,       350.40,       347.35,       348.85,       346.10,       346.60,-3.8
,Nifty50 Value 20,      5386.70,      5407.15,      5461.60,      5385.05,      5441.65,54.95
,Nifty Mid Liq 15,      3573.55,      3609.00,      3632.30,      3593.20,      3620.30,46.75
,Nifty Pvt Bank,     12057.80,     12241.00,     12352.25,     12177.45,     12245.25,187.45
,NIFTY100 Qualty30,      2597.45,      2619.90,      2642.05,      2609.90,      2637.70,40.25
,Nifty GS 8 13Yr,      2208.11,      2208.49,      2209.63,      2206.08,      2207.96,-.15
,Nifty GS 10Yr,      2002.83,      2003.14,      2004.73,      2001.36,      2003.94,1.11
,Nifty GS 10Yr Cln,       978.68,       978.68,       979.46,       977.79,       979.07,.39
,Nifty GS 4 8Yr,      2353.18,      2353.59,      2353.59,      2351.41,      2353.37,.19
,Nifty GS 11 15Yr,      2380.89,      2381.32,      2381.41,      2378.29,      2379.46,-1.43
,Nifty GS 15YrPlus,      2627.64,      2628.11,      2628.49,      2628.11,      2628.49,.85
,Nifty GS Compsite,      2252.20,      2252.59,      2253.32,      2250.35,      2252.11,-.09

,ADVANCES,1140
,DECLINES,784
,UNCHANGED,91

,Total securities that have hit their price bands today,510

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      1098.45,      1133.05,3.15,3706.71
,BAJFINANCE,EQ,      3301.30,      3441.50,4.25,3578.13
,RELIANCE,EQ,      1911.70,      1919.90,0.43,3237.26
,M&MFIN,EQ,       207.90,       229.60,10.44,2821.55
,INFY,EQ,       903.15,       934.30,3.45,1697.75
,BRITANNIA,EQ,      3785.00,      3982.65,5.22,1487.21
,AXISBANK,EQ,       433.10,       434.00,0.21,1323.6
,ICICIBANK,EQ,       353.80,       363.00,2.6,1317.65
,INDUSINDBK,EQ,       520.80,       528.75,1.53,1058.1
,IDEA,EQ,         8.90,         9.10,2.25,969.98
,SBIN,EQ,       188.20,       190.75,1.35,873.84
,BAJAJFINSV,EQ,      6361.60,      6620.15,4.06,799.42
,SUNPHARMA,EQ,       503.60,       483.80,-3.93,784.67
,HDFC,EQ,      1805.85,      1806.05,0.01,711.22
,HCLTECH,EQ,       623.15,       648.60,4.08,674.07
,HINDUNILVR,EQ,      2334.55,      2330.95,-0.15,654.28
,TCS,EQ,      2200.75,      2207.90,0.32,651.22
,BPCL,EQ,       443.80,       437.30,-1.46,633.83
,MUTHOOTFIN,EQ,      1202.95,      1229.75,2.23,619.26
,WIPRO,EQ,       261.35,       270.80,3.62,567.14
,BHARTIARTL,EQ,       566.75,       575.75,1.59,551.34
,MARUTI,EQ,      5919.50,      5867.50,-0.88,535.16
,SBICARD,EQ,       755.95,       751.00,-0.65,508.55
,RBLBANK,EQ,       169.55,       174.70,3.04,505.92
,HEROMOTOCO,EQ,      2764.05,      2860.15,3.48,472.21

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BRITANNIA,EQ,      3982.65,      3785.00,5.22
,BAJFINANCE,EQ,      3441.50,      3301.30,4.25
,HCLTECH,EQ,       648.60,       623.15,4.08
,BAJAJFINSV,EQ,      6620.15,      6361.60,4.06
,UPL,EQ,       453.65,       436.45,3.94

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       483.80,       503.60,-3.93
,CIPLA,EQ,       674.35,       689.10,-2.14
,ZEEL,EQ,       154.75,       157.40,-1.68
,BPCL,EQ,       437.30,       443.80,-1.46
,NTPC,EQ,        87.15,        88.30,-1.3

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.85,                  1233142.95,38816
,21STCENMGM,EQ,        10.85,                    18031.25,1697
,3IINFOTECH,EQ,         2.55,                 13694018.55,5346755
,3MINDIA,EQ,     21532.55,                102918299.85,4821
,3PLAND,EQ,         7.75,                    11725.75,1513
,509GS2022,GS,        96.00,                       96.00,1
,522GS2025,GS,        96.00,                    16032.00,167
,5PAISA,EQ,       365.90,                 26796311.60,76456
,619GS2034,GS,        99.50,                     9950.00,100
,63MOONS,BE,        72.20,                   948149.05,13166
,716GS2050,GS,       111.75,                    12955.20,116
,719GS2060,GS,       112.70,                   349595.40,3102
,757GS2033,GS,       116.00,                   118200.00,1050
,772GS2049,GS,       113.40,                     1134.00,10
,813GS2045,GS,       119.07,                      595.35,5
,A2ZINFRA,EQ,         4.50,                  2521947.95,554671
,AARON,SM,        46.10,                   602580.00,13200
,AARTIDRUGS,EQ,      1453.55,                230572375.05,153303
,AARTIIND,EQ,       905.15,                181488283.95,199843
,AARTISURF,BE,       390.10,                   510250.80,1308
,AARVEEDEN,BE,        10.70,                    17203.90,1572
,AARVI,EQ,        32.95,                    88279.75,2724
,AAVAS,EQ,      1301.60,                 27189815.05,20843
,ABAN,EQ,        26.20,                  1406009.10,53491
,ABB,EQ,       898.95,                260344886.50,286602
,ABCAPITAL,EQ,        61.80,                297553919.65,4803228
,ABFRL,EQ,       113.40,                115544761.55,1006547
,ABMINTLTD,BE,        12.15,                      486.00,40
,ABSLBANETF,EQ,       218.91,                   143000.90,656
,ABSLNN50ET,EQ,       266.99,                    20222.77,77
,ABSLRIF6RG,MF,         6.04,                   424091.34,71264
,ACCELYA,EQ,       950.95,                  7573784.15,7975
,ACCURACY,SM,        39.35,                   127600.00,3200
,ACE,EQ,        60.10,                 12406341.45,203754
,ADANIENT,EQ,       160.70,               1000401854.35,6330153
,ADANIGAS,EQ,       153.80,                220431300.40,1446579
,ADANIGREEN,EQ,       349.95,                317668029.20,899002
,ADANIPOWER,EQ,        35.35,                 66835877.00,1882940
,ADFFOODS,EQ,       299.85,                 11222643.75,37550
,ADHUNIKIND,BE,        20.05,                   557968.75,27610
,ADORWELD,EQ,       260.20,                  3697800.00,14242
,ADROITINFO,BE,        10.35,                    26038.95,2602
,ADSL,EQ,        16.95,                  1134844.40,67663
,ADVANIHOTR,EQ,        40.50,                   172715.75,4271
,ADVENZYMES,EQ,       164.75,                 38435336.05,231901
,AEGISCHEM,EQ,       189.70,                 90999869.55,486390
,AFFLE,EQ,      1696.50,                 32416809.65,19048
,AGARIND,EQ,        85.15,                  1058306.60,12383
,AGCNET,EQ,       314.45,                  6499431.20,20445
,AGRITECH,BE,        29.65,                   252172.30,8515
,AGROPHOS,EQ,        10.95,                   532348.50,49137
,AHLEAST,EQ,       139.55,                   237865.00,1650
,AHLUCONT,EQ,       208.50,                  1308250.45,6327
,AHLWEST,EQ,       259.45,                    54439.50,215
,AIAENG,EQ,      1701.60,                 46467603.55,27186
,AIONJSW,EQ,        14.30,                  1306500.25,91432
,AIRAN,BE,        12.80,                   782373.35,59670
,AJANTPHARM,EQ,      1452.00,                131559851.10,90696
,AJMERA,EQ,        77.35,                  5154833.85,66302
,AKASH,BE,       142.75,                  1380669.80,9828
,AKSHARCHEM,EQ,       221.50,                 23206713.05,103313
,AKSHOPTFBR,BE,         4.95,                   342337.05,69159
,AKZOINDIA,EQ,      1844.40,                 31606790.70,17270
,ALANKIT,EQ,        16.95,                  3664558.75,221675
,ALBERTDAVD,EQ,       403.90,                  7049123.10,17396
,ALCHEM,EQ,         4.55,                   205207.20,45901
,ALEMBICLTD,EQ,        84.05,                161996327.00,1910048
,ALICON,EQ,       260.50,                  1278805.45,4857
