,16-Mar-2020
The Nifty witnessed an intraday movement of about 437.1 points.The closing index was 7.61 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 49833.83
, Traded Quantity (in Lakhs), 34895.2
, Number of Trades, 22353063
, Total Market Capitalisation (Rs. Crores), 12053293.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9955.20,      9587.80,      9602.20,      9165.10,      9197.40,-757.8
,NIFTY50 EQL Wgt,      9917.50,      9569.35,      9676.60,      9229.85,      9282.75,-634.75
,NIFTY100 EQL Wgt,     10758.30,     10396.05,     10573.80,     10071.05,     10131.95,-626.35
,NIFTY100 LowVol30,      7637.45,      7432.50,      7447.50,      7125.35,      7175.70,-461.75
,NIFTY Alpha 50,     11643.45,     11227.90,     11369.80,     10925.95,     10992.15,-651.3
,NIFTY MIDCAP 150,      5501.75,      5305.50,      5345.15,      5165.75,      5179.45,-322.3
,NIFTY SMLCAP 50,      2234.40,      2126.40,      2144.35,      2080.55,      2101.05,-133.35
,NIFTY SMLCAP 250,      4070.90,      3923.40,      3936.75,      3835.35,      3849.90,-221
,NIFTY MIDSML 400,      4987.30,      4808.55,      4837.60,      4688.85,      4701.60,-285.7
,NIFTY200 QUALTY30,      8531.40,      8322.10,      8354.95,      8000.55,      8057.85,-473.55
,Nifty IT,     13539.10,     12963.70,     13078.65,     12355.15,     12451.35,-1087.75
,Nifty Next 50,     23423.80,     22653.00,     23190.15,     21998.45,     22184.35,-1239.45
,Nifty Bank,     25166.45,     24061.60,     24074.15,     23008.25,     23101.15,-2065.3
,NIFTY MIDCAP 100,     14608.10,     14051.40,     14179.40,     13658.85,     13695.30,-912.8
,Nifty 500,      8163.00,      7867.00,      7904.25,      7564.80,      7591.90,-571.1
,Nifty 100,     10050.25,      9684.80,      9728.10,      9281.75,      9316.95,-733.3
,Nifty Midcap 50,      3920.25,      3747.10,      3794.65,      3630.75,      3646.75,-273.5
,Nifty Realty,       235.85,       223.75,       225.00,       214.65,       216.15,-19.7
,Nifty Infra,      2674.90,      2570.45,      2611.85,      2487.45,      2499.85,-175.05
,Nifty Energy,     11721.25,     11296.60,     11511.45,     10973.45,     11017.45,-703.8
,Nifty FMCG,     26208.00,     25586.40,     25624.35,     24492.70,     24707.65,-1500.35
,Nifty MNC,     12177.05,     11840.40,     11894.95,     11529.65,     11602.55,-574.5
,Nifty Pharma,      7268.00,      7075.35,      7406.05,      6909.65,      6959.35,-308.65
,Nifty PSE,      2379.35,      2299.20,      2336.75,      2225.80,      2242.00,-137.35
,Nifty PSU Bank,      1573.25,      1499.30,      1524.60,      1468.35,      1497.40,-75.85
,Nifty Serv Sector,     14486.45,     13904.75,     13922.75,     13259.45,     13311.50,-1174.95
,India VIX,51.4725,51.4725,59.8650,51.4725,58.8750,7.4025
,Nifty Auto,      6182.00,      5970.15,      6041.35,      5826.10,      5843.70,-338.3
,Nifty Metal,      1903.35,      1807.60,      1852.45,      1722.50,      1730.60,-172.75
,Nifty Media,      1282.35,      1214.45,      1263.90,      1167.15,      1226.05,-56.3
,NIFTY SMLCAP 100,      4721.60,      4505.45,      4533.35,      4400.75,      4418.90,-302.7
,Nifty 200,      5147.65,      4959.45,      4984.05,      4760.75,      4777.95,-369.7
,Nifty Div Opps 50,      2041.05,      1980.65,      1992.55,      1904.25,      1910.85,-130.2
,Nifty Commodities,      2625.95,      2522.85,      2571.75,      2433.50,      2455.20,-170.75
,Nifty Consumption,      4412.10,      4291.60,      4314.50,      4135.70,      4159.70,-252.4
,Nifty Fin Service,     12101.60,     11589.65,     11600.75,     11069.60,     11123.40,-978.2
,Nifty50 Div Point,       131.85,       135.84,       135.84,       135.84,       135.84,3.99
,Nifty100 Liq 15,      2760.70,      2637.30,      2649.75,      2522.65,      2536.90,-223.8
,Nifty CPSE,      1351.40,      1315.90,      1316.45,      1248.90,      1259.00,-92.4
,Nifty GrowSect 15,      5292.00,      5112.90,      5117.85,      4872.40,      4894.00,-398
,Nifty50 PR 2x Lev,      3439.45,      3184.20,      3193.85,      2892.35,      2914.45,-525
,Nifty50 PR 1x Inv,       466.90,       484.30,       504.10,       483.65,       502.60,35.7
,Nifty50 TR 2x Lev,      4481.75,      4152.80,      4165.35,      3772.45,      3801.30,-680.45
,Nifty50 TR 1x Inv,       409.10,       424.20,       441.55,       423.65,       440.25,31.15
,Nifty50 Value 20,      4489.85,      4349.80,      4388.60,      4178.90,      4195.55,-294.3
,Nifty Mid Liq 15,      3464.50,      3292.10,      3366.00,      3230.00,      3251.75,-212.75
,Nifty Pvt Bank,     13740.55,     13147.95,     13164.10,     12504.60,     12557.10,-1183.45
,NIFTY100 Qualty30,      2315.00,      2254.55,      2257.20,      2160.70,      2175.40,-139.6
,Nifty GS 8 13Yr,      2081.26,      2081.64,      2101.48,      2081.64,      2100.38,19.12
,Nifty GS 10Yr,      1923.26,      1923.59,      1950.42,      1923.59,      1947.73,24.47
,Nifty GS 10Yr Cln,       959.51,       959.51,       973.28,       959.51,       971.90,12.39
,Nifty GS 4 8Yr,      2201.86,      2202.27,      2216.97,      2202.27,      2214.74,12.88
,Nifty GS 11 15Yr,      2229.87,      2230.30,      2250.91,      2230.30,      2248.70,18.83
,Nifty GS 15YrPlus,      2461.07,      2461.53,      2467.48,      2461.53,      2467.48,6.41
,Nifty GS Compsite,      2117.27,      2117.66,      2135.28,      2117.66,      2133.86,16.59

,ADVANCES,309
,DECLINES,1640
,UNCHANGED,92

,Total securities that have hit their price bands today,603

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBICARD,EQ,       755.00,       681.40,-9.75,4319.84
,HDFC,EQ,      2066.80,      1841.75,-10.89,2025.81
,RELIANCE,EQ,      1105.30,      1015.70,-8.11,1841.87
,SBIN,EQ,       242.00,       223.35,-7.71,1707.06
,HDFCBANK,EQ,      1069.80,       999.50,-6.57,1620.25
,ICICIBANK,EQ,       447.20,       402.90,-9.91,1427.4
,TCS,EQ,      1806.30,      1696.40,-6.08,1380.68
,BAJFINANCE,EQ,      3952.55,      3672.25,-7.09,1155.02
,INFY,EQ,       642.35,       583.15,-9.22,1143.42
,INDUSINDBK,EQ,       803.75,       664.15,-17.37,1141.38
,AXISBANK,EQ,       568.80,       508.60,-10.58,1124.19
,KOTAKBANK,EQ,      1470.05,      1383.70,-5.87,929.99
,IDEA,EQ,         5.60,         5.70,1.79,786.14
,TATASTEEL,EQ,       326.70,       289.60,-11.36,713.15
,BHARTIARTL,EQ,       491.85,       464.80,-5.5,693.34
,LT,EQ,      1051.45,       968.70,-7.87,666.35
,TATAMOTORS,EQ,        89.75,        82.95,-7.58,626.47
,BPCL,EQ,       376.05,       364.65,-3.03,622.61
,YESBANK,EQ,        25.55,        37.10,45.21,598.8
,HINDUNILVR,EQ,      2033.20,      1941.90,-4.49,581.01
,RBLBANK,EQ,       206.60,       162.85,-21.18,553.81
,SUNPHARMA,EQ,       384.20,       368.55,-4.07,546.01
,MARUTI,EQ,      5838.60,      5480.25,-6.14,519.2
,ITC,EQ,       162.25,       147.25,-9.24,501.65
,ASIANPAINT,EQ,      1797.70,      1683.40,-6.36,494.51

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        37.10,        25.55,45.21

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       664.15,       803.75,-17.37
,JSWSTEEL,EQ,       186.00,       214.90,-13.45
,TATASTEEL,EQ,       289.60,       326.70,-11.36
,VEDL,EQ,        74.85,        84.05,-10.95
,HDFC,EQ,      1841.75,      2066.80,-10.89

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        22.95,                  1055802.45,44496
,21STCENMGM,EQ,        11.45,                       80.15,7
,3IINFOTECH,EQ,         1.75,                  4071340.15,2428753
,3MINDIA,EQ,     18654.55,                139531691.20,7405
,3PLAND,EQ,         3.80,                    13421.60,3532
,5PAISA,EQ,       121.45,                   491604.15,4019
,63MOONS,EQ,        63.00,                  6405197.95,101652
,726GS2029,GS,       102.00,                    25500.00,250
,824GS2027,GS,       105.00,                    74550.00,710
,8KMILES,BZ,        30.50,                    38064.00,1248
,A2ZINFRA,EQ,         3.45,                  3927518.10,1090194
,AAKASH,SM,        60.35,                   120700.00,2000
,AARON,SM,        44.00,                   145200.00,3300
,AARTIDRUGS,EQ,       520.00,                 13611338.35,25939
,AARTIIND,EQ,       806.45,                322965633.10,388826
,AARVEEDEN,EQ,         8.50,                   102010.55,11630
,AARVI,SM,        21.90,                    87700.00,4000
,AAVAS,EQ,      1725.00,                113114507.85,65291
,ABAN,EQ,        14.25,                  2365197.45,161493
,ABB,EQ,       963.85,                472114387.90,492097
,ABBOTINDIA,EQ,     14421.55,                255371485.10,17679
,ABCAPITAL,EQ,        55.80,                120892724.20,2131580
,ABFRL,EQ,       204.10,                453834814.00,2077253
,ABINFRA,SM,        10.10,                   325000.00,32000
,ABSLBANETF,EQ,       250.00,                    11853.65,46
,ABSLFTQWDG,MF,         8.52,                   766800.00,90000
,ABSLNN50ET,EQ,       244.70,                   111840.60,436
,ABSLRIF6RG,MF,         5.25,                    85762.50,16450
,ACCELYA,EQ,       949.90,                 60007117.20,63218
,ACE,EQ,        47.50,                  6308538.45,132035
,ADANIENT,EQ,       134.70,                904439091.20,6582849
,ADANIGAS,EQ,       103.70,                386163339.35,3575009
,ADANIGREEN,EQ,       117.70,                156728494.20,1305459
,ADANIPOWER,EQ,        28.45,                348245443.75,11982290
,ADANITRANS,EQ,       171.10,                 55706424.00,305757
,ADFFOODS,EQ,       153.10,                 78566533.20,496717
,ADHUNIKIND,EQ,        20.95,                    88073.80,4204
,ADLABS,EQ,         2.75,                   328114.70,118014
,ADORWELD,EQ,       245.10,                   976856.10,3932
,ADROITINFO,EQ,         5.50,                     3860.00,700
,ADSL,EQ,        14.25,                  1787881.90,124600
,ADVANIHOTR,EQ,        39.05,                   270583.70,6821
,ADVENZYMES,EQ,       119.55,                 12127840.25,98577
,AEGISCHEM,EQ,       164.70,                 43101171.50,258620
,AFFLE,BE,      1402.20,                  8215489.80,5859
,AGARIND,EQ,        54.70,                   157001.45,2854
,AGCNET,BE,       259.85,                  1634583.40,6286
,AGRITECH,EQ,        22.85,                   372128.05,15707
,AGROPHOS,EQ,         9.05,                    66119.30,7306
,AHLADA,SM,        45.25,                   360000.00,8000
,AHLEAST,EQ,       153.05,                   171855.35,1147
,AHLUCONT,EQ,       275.40,                  3459673.35,12577
,AHLWEST,EQ,       292.95,                    58387.65,206
,AIAENG,EQ,      1672.70,                 68484282.40,40669
,AIONJSW,EQ,        10.00,                   798664.80,78535
,AIRAN,EQ,        10.50,                   741375.55,68431
,AIROLAM,SM,        18.05,                   232800.00,12000
,AISL,SM,        20.70,                    24840.00,1200
,AJANTPHARM,EQ,      1259.10,                242299132.00,192599
,AJMERA,EQ,        72.75,                  3838560.25,52343
,AJOONI,SM,         8.75,                    35000.00,4000
,AKSHARCHEM,EQ,       194.30,                   971208.30,4866
,AKSHOPTFBR,EQ,         3.80,                  2431872.80,625990
,AKZOINDIA,EQ,      2198.60,                 44572447.80,20057
