,05-Mar-2020
The Nifty witnessed an intraday movement of about 144.9 points.The closing index was 0.16 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 44513.63
, Traded Quantity (in Lakhs), 26926.18
, Number of Trades, 14915274
, Total Market Capitalisation (Rs. Crores), 14627559.44

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11251.00,     11306.05,     11389.50,     11244.60,     11269.00,18
,NIFTY50 EQL Wgt,     11309.45,     11373.15,     11468.15,     11301.25,     11357.55,48.1
,NIFTY100 EQL Wgt,     12268.80,     12338.70,     12441.25,     12260.30,     12322.90,54.1
,NIFTY100 LowVol30,      8517.50,      8544.70,      8643.45,      8537.10,      8550.05,32.55
,NIFTY Alpha 50,     13251.65,     13299.10,     13371.95,     13126.85,     13279.05,27.4
,NIFTY MIDCAP 150,      6244.95,      6278.00,      6303.45,      6212.30,      6260.15,15.2
,NIFTY SMLCAP 50,      2656.70,      2672.45,      2683.85,      2641.25,      2659.95,3.25
,NIFTY SMLCAP 250,      4754.95,      4782.20,      4806.90,      4742.75,      4775.95,21
,NIFTY MIDSML 400,      5710.70,      5741.70,      5763.55,      5685.60,      5728.10,17.4
,NIFTY200 QUALTY30,      9561.60,      9610.05,      9711.90,      9605.10,      9635.15,73.55
,Nifty IT,     15864.30,     15912.05,     16150.60,     15841.10,     15871.35,7.05
,Nifty Next 50,     26717.15,     26874.70,     27097.90,     26710.85,     26877.55,160.4
,Nifty Bank,     28653.70,     28830.30,     29134.30,     28535.60,     28815.35,161.65
,NIFTY MIDCAP 100,     16746.45,     16839.50,     16908.30,     16627.85,     16769.90,23.45
,Nifty 500,      9258.25,      9305.55,      9365.55,      9250.05,      9280.15,21.9
,Nifty 100,     11372.85,     11430.10,     11515.55,     11371.50,     11397.90,25.05
,Nifty Midcap 50,      4500.20,      4523.85,      4547.05,      4464.35,      4507.40,7.2
,Nifty Realty,       281.05,       283.60,       284.85,       275.45,       277.85,-3.2
,Nifty Infra,      3024.65,      3042.85,      3049.70,      3009.50,      3014.70,-9.95
,Nifty Energy,     13876.65,     13956.00,     14039.80,     13707.05,     13743.65,-133
,Nifty FMCG,     29223.75,     29333.25,     29844.10,     29332.05,     29530.50,306.75
,Nifty MNC,     13416.20,     13464.25,     13584.55,     13436.70,     13464.45,48.25
,Nifty Pharma,      8086.55,      8125.90,      8281.70,      8122.60,      8146.00,59.45
,Nifty PSE,      2776.75,      2793.65,      2814.05,      2754.10,      2761.10,-15.65
,Nifty PSU Bank,      1865.90,      1880.70,      1936.00,      1810.45,      1891.90,26
,Nifty Serv Sector,     16344.15,     16423.40,     16569.50,     16324.70,     16404.55,60.4
,India VIX,24.2250,24.2250,24.2250,22.1250,23.2475,-0.9775
,Nifty Auto,      6938.85,      6966.30,      7013.65,      6892.75,      6953.75,14.9
,Nifty Metal,      2304.30,      2327.65,      2351.45,      2278.00,      2284.85,-19.45
,Nifty Media,      1617.65,      1628.45,      1640.05,      1578.75,      1606.30,-11.35
,NIFTY SMLCAP 100,      5576.60,      5605.25,      5633.25,      5550.75,      5583.35,6.75
,Nifty 200,      5833.40,      5863.10,      5901.80,      5828.55,      5845.75,12.35
,Nifty Div Opps 50,      2345.60,      2354.10,      2378.10,      2343.45,      2346.80,1.2
,Nifty Commodities,      3049.45,      3069.90,      3088.60,      3027.00,      3033.15,-16.3
,Nifty Consumption,      4871.65,      4892.45,      4937.50,      4884.95,      4911.25,39.6
,Nifty Fin Service,     13439.50,     13499.00,     13607.70,     13394.30,     13472.75,33.25
,Nifty50 Div Point,       130.13,       131.85,       131.85,       131.85,       131.85,1.72
,Nifty100 Liq 15,      3270.05,      3299.50,      3327.15,      3245.20,      3279.10,9.05
,Nifty CPSE,      1605.90,      1612.45,      1622.10,      1587.85,      1597.45,-8.45
,Nifty GrowSect 15,      5859.05,      5877.45,      5966.50,      5872.20,      5900.75,41.7
,Nifty50 PR 2x Lev,      4455.75,      4498.75,      4563.80,      4450.25,      4469.40,13.65
,Nifty50 PR 1x Inv,       417.35,       415.35,       417.65,       412.30,       416.75,-.6
,Nifty50 TR 2x Lev,      5804.30,      5862.10,      5946.85,      5798.95,      5823.85,19.55
,Nifty50 TR 1x Inv,       365.75,       363.95,       365.95,       361.25,       365.15,-.6
,Nifty50 Value 20,      5189.70,      5213.90,      5287.95,      5209.35,      5216.55,26.85
,Nifty Mid Liq 15,      3904.00,      3931.70,      3958.15,      3885.25,      3917.65,13.65
,Nifty Pvt Bank,     15761.60,     15838.80,     16042.50,     15681.30,     15853.45,91.85
,NIFTY100 Qualty30,      2606.40,      2620.55,      2646.55,      2619.55,      2625.40,19
,Nifty GS 8 13Yr,      2098.26,      2098.64,      2098.70,      2095.06,      2096.76,-1.5
,Nifty GS 10Yr,      1932.30,      1932.63,      1932.77,      1927.95,      1930.87,-1.43
,Nifty GS 10Yr Cln,       966.03,       966.03,       966.10,       963.63,       965.12,-.91
,Nifty GS 4 8Yr,      2227.71,      2228.12,      2228.12,      2223.67,      2225.57,-2.14
,Nifty GS 11 15Yr,      2255.21,      2255.64,      2257.88,      2253.84,      2255.36,.15
,Nifty GS 15YrPlus,      2474.62,      2475.08,      2484.80,      2475.08,      2484.80,10.18
,Nifty GS Compsite,      2135.77,      2136.16,      2136.60,      2132.41,      2134.27,-1.5

,ADVANCES,968
,DECLINES,872
,UNCHANGED,127

,Total securities that have hit their price bands today,371

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       285.30,       288.50,1.12,4271
,YESBANK,EQ,        29.30,        36.80,25.6,2732.17
,RELIANCE,EQ,      1339.70,      1311.15,-2.13,1851.04
,IBULHSGFIN,EQ,       282.90,       285.45,0.9,1178.36
,HDFCBANK,EQ,      1148.85,      1151.35,0.22,1129.75
,TATAMOTORS,EQ,       126.20,       125.75,-0.36,1110.2
,IRCTC,EQ,      1565.40,      1430.85,-8.6,1102.62
,HDFC,EQ,      2206.05,      2195.05,-0.5,864.07
,ICICIBANK,EQ,       508.35,       504.50,-0.76,843.45
,TCS,EQ,      2083.20,      2125.05,2.01,835.26
,KOTAKBANK,EQ,      1607.95,      1651.35,2.7,835.26
,BAJFINANCE,EQ,      4286.40,      4330.70,1.03,793.13
,BHARTIARTL,EQ,       516.75,       526.90,1.96,737.45
,INDUSINDBK,EQ,      1065.95,      1075.00,0.85,733.34
,AXISBANK,EQ,       682.20,       677.90,-0.63,720.09
,INFY,EQ,       758.75,       754.60,-0.55,592.27
,TATASTEEL,EQ,       377.15,       375.75,-0.37,556.45
,HINDUNILVR,EQ,      2175.85,      2218.00,1.94,507.39
,CIPLA,EQ,       447.65,       440.60,-1.57,432.84
,SRTRANSFIN,EQ,      1165.35,      1174.65,0.8,419.25
,MARUTI,EQ,      6384.35,      6365.95,-0.29,412.76
,EICHERMOT,EQ,     17254.20,     17775.35,3.02,407.83
,SUNPHARMA,EQ,       405.45,       404.90,-0.14,403.12
,ASIANPAINT,EQ,      1847.95,      1874.45,1.43,385.97
,ITC,EQ,       187.50,       188.05,0.29,378.22

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        36.80,        29.30,25.6
,EICHERMOT,EQ,     17775.35,     17254.20,3.02
,KOTAKBANK,EQ,      1651.35,      1607.95,2.7
,HCLTECH,EQ,       576.40,       563.10,2.36
,BRITANNIA,EQ,      3127.15,      3063.05,2.09

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       238.15,       251.75,-5.4
,HINDALCO,EQ,       155.50,       160.60,-3.18
,INFRATEL,EQ,       214.70,       221.05,-2.87
,RELIANCE,EQ,      1311.15,      1339.70,-2.13
,TECHM,EQ,       756.10,       771.30,-1.97

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.80,                   281840.35,9134
,21STCENMGM,EQ,        11.95,                     3066.90,257
,3IINFOTECH,EQ,         1.90,                  1398520.15,740462
,3MINDIA,EQ,     22885.45,               1220356572.55,51972
,3PLAND,EQ,         4.15,                    10070.25,2299
,3RDROCK,IT,        64.60,                   335920.00,5200
,5PAISA,EQ,       153.45,                   565712.15,3662
,63MOONS,EQ,        88.70,                  6340537.75,70818
,772GS2049,GS,       110.25,                    28434.75,271
,A2ZINFRA,EQ,         3.90,                   959427.50,243031
,AAKASH,SM,        66.80,                   260800.00,4000
,AARON,SM,        47.85,                   157905.00,3300
,AARTIDRUGS,EQ,       673.85,                 44075945.65,65622
,AARTIIND,EQ,       989.50,                159578413.65,162734
,AARVEEDEN,EQ,        11.80,                    52418.20,4426
,AAVAS,EQ,      1928.45,                 52034930.00,27074
,ABAN,EQ,        19.45,                  1271216.50,64497
,ABB,EQ,      1180.55,                 31883963.20,27103
,ABBOTINDIA,EQ,     14853.55,                215543270.80,14482
,ABCAPITAL,EQ,        78.20,                112359011.40,1439424
,ABFRL,EQ,       252.45,                 63889476.40,253270
,ABINFRA,SM,        11.40,                    91200.00,8000
,ABSLBANETF,EQ,       289.20,                      289.20,1
,ABSLNN50ET,EQ,       272.50,                    15450.41,57
,ABSLRIF6RG,MF,         5.91,                    64460.30,10000
,ACCELYA,EQ,      1033.55,                  5591770.70,5408
,ACCORD,SM,        14.10,                    28200.00,2000
,ACCURACY,SM,        19.40,                  1371040.00,70400
,ACE,EQ,        64.85,                  5156697.05,79433
,ADANIENT,EQ,       221.75,                705273069.95,3159080
,ADANIGAS,EQ,       131.30,                355281080.35,2696074
,ADANIGREEN,EQ,       152.50,                189429840.30,1252377
,ADANIPOWER,EQ,        46.75,                437246794.15,9256866
,ADANITRANS,EQ,       250.35,                 22695053.80,90096
,ADFFOODS,EQ,       253.20,                 12812298.65,50481
,ADHUNIKIND,EQ,        28.35,                   358729.70,12641
,ADLABS,EQ,         3.35,                   109881.65,32337
,ADORWELD,EQ,       295.45,                   349868.20,1187
,ADROITINFO,EQ,         6.10,                     9766.10,1601
,ADSL,EQ,        18.05,                   693248.20,39635
,ADVANIHOTR,EQ,        50.30,                    88391.55,1759
,ADVENZYMES,EQ,       151.15,                  4104553.70,27112
,AEGISCHEM,EQ,       210.45,                 75038414.00,356339
,AFFLE,BE,      1722.25,                 67819768.00,40291
,AGARIND,EQ,        66.65,                   528356.25,7875
,AGCNET,BE,       352.90,                   141865.80,402
,AGRITECH,EQ,        34.55,                   260652.10,7391
,AGROPHOS,EQ,        12.10,                   265294.30,21815
,AHLEAST,EQ,       192.00,                   116350.35,606
,AHLUCONT,EQ,       332.85,                 18771054.20,55761
,AHLWEST,EQ,       314.95,                   756681.80,2431
,AIAENG,EQ,      1783.75,                 46667064.95,26194
,AIONJSW,EQ,        12.40,                   943293.45,74951
,AIRAN,EQ,        11.45,                   236282.50,20587
,AJANTPHARM,EQ,      1478.50,                808777612.60,537796
,AJMERA,EQ,        92.85,                  2335776.60,25091
,AJOONI,SM,        10.75,                    90400.00,8000
,AKSHARCHEM,EQ,       246.95,                   892239.55,3582
