,14-Jul-2021
The Nifty witnessed an intraday movement of about 113.15 points.The closing index was 0.26 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57970.23
, Traded Quantity (in Lakhs), 23186.97
, Number of Trades, 20439300
, Total Market Capitalisation (Rs. Crores), 23126772.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15812.35,     15808.70,     15877.35,     15764.20,     15853.95,41.6
,NIFTY50 EQL Wgt,     17806.40,     17801.35,     17873.20,     17772.75,     17849.00,42.6
,NIFTY100 EQL Wgt,     18996.15,     19010.50,     19037.35,     18962.90,     19025.20,29.05
,NIFTY100 LowVol30,     12300.20,     12300.80,     12357.65,     12290.80,     12347.55,47.35
,NIFTY Alpha 50,     27407.45,     27520.55,     27600.15,     27430.65,     27522.80,115.35
,NIFTY MIDCAP 150,     10401.20,     10425.50,     10454.45,     10420.50,     10435.85,34.65
,NIFTY SMLCAP 50,      5093.00,      5101.70,      5154.90,      5095.20,      5147.55,54.55
,NIFTY SMLCAP 250,      8901.45,      8928.00,      8951.15,      8908.05,      8917.10,15.65
,NIFTY MIDSML 400,      9859.10,      9884.15,      9906.75,      9879.45,      9887.00,27.9
,NIFTY200 QUALTY30,     13471.55,     13500.30,     13557.45,     13477.45,     13549.50,77.95
,Nifty FinSrv25 50,     16911.35,     16894.60,     16936.85,     16814.55,     16874.15,-37.2
,NIFTY AlphaLowVol,     15804.70,     15837.70,     15912.10,     15816.35,     15899.85,95.15
,Nifty200Momentm30,     17982.00,     18046.00,     18093.95,     17977.90,     18063.60,81.6
,Nifty100ESGSecLdr,      2683.15,      2684.25,      2693.85,      2675.85,      2691.30,8.15
,Nifty IT,     28439.75,     28581.25,     29376.90,     28534.85,     29339.85,900.1
,Nifty Next 50,     38873.50,     38965.40,     38973.35,     38801.65,     38874.00,.5
,Nifty Bank,     35673.40,     35585.85,     35804.05,     35434.75,     35668.25,-5.15
,NIFTY MIDCAP 100,     27560.75,     27616.85,     27689.70,     27571.70,     27623.30,62.55
,Nifty 500,     13628.85,     13638.30,     13678.80,     13606.35,     13661.10,32.25
,Nifty 100,     16055.60,     16058.15,     16112.00,     16009.10,     16091.50,35.9
,Nifty Midcap 50,      7641.10,      7657.50,      7672.50,      7642.05,      7654.50,13.4
,Nifty Realty,       380.80,       381.20,       381.20,       376.50,       377.20,-3.6
,Nifty Infra,      4398.25,      4397.90,      4411.75,      4394.75,      4402.15,3.9
,Nifty Energy,     19570.60,     19602.95,     19681.20,     19454.85,     19524.75,-45.85
,Nifty FMCG,     36110.30,     36124.75,     36153.20,     35912.25,     36073.20,-37.1
,Nifty MNC,     17605.80,     17626.85,     17663.95,     17605.30,     17647.95,42.15
,Nifty Pharma,     14460.05,     14457.00,     14547.55,     14424.05,     14507.00,46.95
,Nifty PSE,      3615.50,      3617.80,      3637.15,      3611.00,      3615.90,.4
,Nifty PSU Bank,      2492.65,      2492.10,      2496.35,      2476.30,      2480.15,-12.5
,Nifty Serv Sector,     22031.80,     22027.20,     22162.10,     21956.25,     22130.60,98.8
,India VIX,12.6225,12.6225,12.9600,10.4850,12.5900,-0.0325
,Nifty Auto,     10497.80,     10503.75,     10510.65,     10455.75,     10467.90,-29.9
,Nifty Metal,      5295.60,      5319.85,      5331.55,      5283.55,      5299.95,4.35
,Nifty Media,      1810.75,      1813.10,      1826.15,      1809.50,      1814.25,3.5
,NIFTY SMLCAP 100,     10190.45,     10221.90,     10259.50,     10204.20,     10235.80,45.35
,Nifty 200,      8392.90,      8396.35,      8421.40,      8373.85,      8411.75,18.85
,Nifty Div Opps 50,      3333.95,      3340.00,      3364.40,      3337.10,      3361.75,27.8
,Nifty Commodities,      5246.75,      5254.15,      5260.65,      5236.10,      5246.45,-.3
,Nifty Consumption,      6374.00,      6377.15,      6381.30,      6350.75,      6365.95,-8.05
,Nifty Fin Service,     16852.15,     16821.55,     16889.95,     16739.60,     16823.05,-29.1
,Nifty50 Div Point,        79.09,        80.35,        80.35,        80.35,        80.35,1.26
,Nifty100 Liq 15,      4045.90,      4042.60,      4059.40,      4032.25,      4048.70,2.8
,Nifty CPSE,      2068.25,      2071.45,      2083.15,      2070.15,      2076.30,8.05
,Nifty GrowSect 15,      7640.10,      7645.60,      7652.50,      7605.85,      7631.50,-8.6
,Nifty50 PR 2x Lev,      7504.90,      7500.75,      7565.55,      7458.85,      7543.70,38.8
,Nifty50 PR 1x Inv,       278.35,       278.45,       279.25,       277.25,       277.65,-.7
,Nifty50 TR 2x Lev,     10118.35,     10114.40,     10201.75,     10057.90,     10172.30,53.95
,Nifty50 TR 1x Inv,       239.85,       239.90,       240.55,       238.85,       239.20,-.65
,Nifty50 Value 20,      7991.35,      7999.00,      8085.05,      7991.55,      8075.35,84
,Nifty Mid Liq 15,      6475.15,      6481.15,      6483.30,      6452.90,      6474.30,-.85
,Nifty Pvt Bank,     18708.55,     18660.40,     18768.15,     18580.35,     18694.00,-14.55
,NIFTY100 Qualty30,      3623.30,      3627.50,      3634.80,      3618.90,      3632.10,8.8
,Nifty GS 8 13Yr,      2261.53,      2261.92,      2261.94,      2261.44,      2261.73,.2
,Nifty GS 10Yr,      2046.71,      2047.05,      2047.09,      2046.15,      2046.77,.06
,Nifty GS 10Yr Cln,       944.34,       944.34,       944.36,       943.92,       944.21,-.13
,Nifty GS 4 8Yr,      2424.63,      2425.02,      2427.23,      2423.62,      2427.10,2.47
,Nifty GS 11 15Yr,      2420.00,      2420.45,      2420.45,      2416.57,      2419.87,-.13
,Nifty GS 15YrPlus,      2575.34,      2575.84,      2575.84,      2571.23,      2571.68,-3.66
,Nifty GS Compsite,      2309.77,      2310.17,      2311.07,      2308.56,      2311.02,1.25

,ADVANCES,1029
,DECLINES,957
,UNCHANGED,64

,Total securities that have hit their price bands today,373

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MINDTREE,EQ,      2495.70,      2703.05,8.31,2230.47
,MAGADSUGAR,EQ,       346.20,                 26828821.20,76287
,MAGMA,BE,       158.60,                438471311.65,2773556
,MAGNUM,BE,         9.80,                   495448.80,50556
,MAHABANK,EQ,        24.35,                126344438.10,5164155
,MAHAPEXLTD,BE,       116.70,                  1334104.50,11437
,MAHASTEEL,EQ,        89.25,                  2207604.05,24672
,MAHEPC,EQ,       173.60,                 86338634.10,494686
,MAHESHWARI,EQ,       112.85,                  4830116.35,42695
,MAHICKRA,SM,        82.00,                   123000.00,1500
,MAHINDCIE,EQ,       235.80,                 79364403.40,334406
,MAHLIFE,EQ,       675.65,                 39379976.30,57881
,MAHLOG,EQ,       582.60,                 34869452.65,59065
,MAHSCOOTER,EQ,      3797.00,                 30652418.50,8074
,MAHSEAMLES,EQ,       330.20,                346530424.10,1031119
,MAITHANALL,EQ,      1052.70,                 87685467.65,83146
,MAJESCO,EQ,        91.45,                 17294746.65,189506
,MALUPAPER,EQ,        37.75,                  5998595.70,157292
,MAN50ETF,EQ,       162.61,                   210726.82,1296
,MANAKALUCO,BE,        18.70,                   947519.85,50990
,MANAKCOAT,EQ,        14.35,                   518750.70,36097
,MANAKSIA,EQ,        68.90,                  9245795.85,134180
,MANAKSTEEL,EQ,        29.70,                 17468436.25,594160
,MANALIPETC,BE,        82.15,                 39622055.70,481848
,MANAPPURAM,EQ,       186.05,               1252705039.80,6717361
,MANAV,SM,         6.15,                    49200.00,8000
,MANGALAM,EQ,       166.90,                 19964027.50,117618
,MANGCHEFER,EQ,        87.05,                112012206.50,1290664
,MANGLMCEM,EQ,       388.05,                 34052165.70,87955
,MANINDS,EQ,       112.25,                 42569867.45,374782
,MANINFRA,EQ,        59.65,                 55093802.75,904465
,MANUGRAPH,BE,        14.50,                    88456.80,5951
,MANXT50,EQ,       386.43,                   344365.22,889
,MARALOVER,EQ,        56.05,                  4732479.85,85347
,MARATHON,EQ,        77.25,                 10539115.55,133712
,MARINE,EQ,        57.75,                 82682403.10,1419414
,MARKSANS,EQ,        86.95,                158179943.75,1809817
,MARSHALL,SM,        30.95,                  2042700.00,66000
,MASFIN,EQ,       876.05,                 32977654.20,36853
,MASKINVEST,BE,        40.40,                    16916.60,414
,MASTEK,EQ,      2244.15,                327126228.60,144930
,MATRIMONY,EQ,      1090.25,                 75478248.75,69135
,MAWANASUG,BE,       111.55,                 52528855.55,460033
,MAXHEALTH,EQ,       268.45,                399696419.85,1471836
,MAXIND,EQ,        74.90,                452656899.90,6022977
,MAXVIL,EQ,        80.35,                 29740555.75,368921
,MAYURUNIQ,EQ,       506.40,                 70154241.05,136638
,MAZDA,EQ,       615.95,                  4265751.30,6868
,MAZDOCK,EQ,       251.25,                270465309.70,1076078
,MBAPL,EQ,       131.05,                  9626129.85,74431
,MBECL,BE,        11.25,                  3190395.10,285810
,MBLINFRA,EQ,        24.15,                  2671986.90,110933
,MC2RG,MF,        12.99,                    32475.00,2500
,MCDHOLDING,BE,        54.90,                   454035.30,8251
,MCL,EQ,        72.90,                 15604523.95,208844
,MCLEODRUSS,BE,        34.00,                  9270010.40,267041
,MCX,EQ,      1606.45,               2581227354.20,1593228
,MEGASOFT,BE,        13.90,                  3717773.35,265899
,MELSTAR,BZ,         3.45,                    39317.30,10958
,MENONBE,EQ,        80.10,                  9803862.50,120815
,MEP,EQ,        26.20,                 31691283.80,1169970
,MERCATOR,BE,         2.60,                   509607.80,196003
,METALFORGE,BZ,         7.15,                   111281.55,15641
,METROPOLIS,EQ,      2811.70,                277709419.35,98783
,MFSL,EQ,      1074.45,                587228345.75,548232
,MGEL,EQ,        54.75,                  4409754.85,80007
,MGL,EQ,      1169.75,                997481262.10,840989
,MHHL,SM,        28.50,                   524100.00,18000
,MHRIL,EQ,       335.40,                801304810.95,2414022
,MIDHANI,EQ,       201.50,                131516435.45,652024
,MINDACORP,EQ,       135.60,                266992659.95,1931363
,MINDAIND,EQ,       702.95,                545368245.55,773338
,MINDPOOL,SM,        17.50,                    70000.00,4000
,MINDSPACE,RR,       281.76,                 79144732.00,280400
,MINDTECK,EQ,        83.60,                  8625482.10,104355
,MINDTREE,EQ,      2703.05,              22304700970.30,8325238
,MIRCELECTR,EQ,        22.95,                 36882278.65,1582183
,MIRZAINT,EQ,        55.35,                 85929561.80,1543040
,MITTAL,EQ,        12.05,                   305835.05,25468
,MMFL,EQ,       757.65,                  4682555.55,6154
,MMP,EQ,       136.05,                 47861823.50,356328
,MMTC,EQ,        53.30,                105178890.30,1963792
,MODIRUBBER,BE,        72.40,                   195250.80,2703
,MODISNME,EQ,        88.30,                 10369234.00,115958
,MOGSEC,EQ,        48.20,                     8531.76,177
,MOHITIND,BE,        15.95,                  1530444.15,93474
,MOHOTAIND,EQ,        10.25,                  1250147.25,123246
,MOIL,EQ,       189.85,                170616577.95,890673
,MOKSH,EQ,        24.55,                 21507499.70,871756
,MOLDTECH,EQ,        98.90,                 13410011.50,134409
,MOLDTEKPP,E1,       398.80,                   242896.20,618
,MOLDTKPAC,EQ,       530.75,                 43931653.80,82439
,MOLDTKPAC,W1,       386.00,                  1611817.90,3937
,MOM100,EQ,        29.01,                  2199844.04,75702
,MOM50,EQ,       157.53,                   317026.42,2018
,MON100,EQ,       110.07,                 80370693.19,731893
,MONTECARLO,EQ,       364.05,                 77675270.15,211740
,MORARJEE,EQ,        21.05,                  2206565.05,104266
,MOREPENLAB,EQ,        67.90,                173887713.90,2540005
,MOTILALOFS,EQ,      1012.55,                836401433.05,822258
,MOTOGENFIN,EQ,        22.45,                  1669234.50,72738
,MPHASIS,EQ,      2375.50,               4964371103.85,2140671
,MPSLTD,EQ,       647.25,                 11450079.75,17674
,MPTODAY,SM,        26.75,                   107000.00,4000
,MRF,EQ,     82806.05,                811676480.90,9792
,MRO-TEK,EQ,        33.10,                    78338.60,2360
,MRPL,EQ,        48.70,                 58787322.25,1200515
,MSPL,BE,        11.15,                  1571728.40,141307
,MSTCLTD,EQ,       312.75,                364413256.80,1154734
,MTARTECH,EQ,      1409.65,               1302023161.90,919744
,MTEDUCARE,BE,         9.80,                   655259.10,66773
,MTNL,EQ,        21.80,                147139218.90,6781784
,MUKANDLTD,BE,       135.00,                  8325013.90,62741
,MUKANDLTD,P1,         5.85,                     1929.20,345
,MUKTAARTS,EQ,        37.30,                   650447.30,17499
,MUNJALAU,EQ,        67.30,                 32784859.45,485695
,MUNJALSHOW,EQ,       145.00,                 14313953.35,98511
,MURUDCERA,EQ,        30.65,                 10455622.60,333215
,MUTHOOTCAP,EQ,       418.10,                  9199922.30,21964
,NABARD,N2,      1241.50,                    62075.00,50
,NABARD,N1,      1455.00,                     7275.00,5
,NACLIND,EQ,        78.90,                 10769906.75,134701
,NAGAFERT,EQ,        19.60,                165737750.85,9061767
,NAGREEKCAP,EQ,         7.50,                     7575.00,1010
,NAGREEKEXP,EQ,        32.80,                  1697601.90,52011
,NAHARCAP,EQ,       209.75,                  9019267.45,42743
,NAHARINDUS,EQ,        98.70,                 12414367.70,126085
,NAHARPOLY,EQ,       179.80,                 26368561.55,144584
,NAHARSPING,EQ,       291.05,                 63406242.95,214249
,NAM-INDIA,EQ,       386.20,                586458357.45,1513555
,NANDANI,SM,        35.20,                   176000.00,5000
,NATCOPHARM,EQ,      1089.25,                596615581.45,544370
,NATHBIOGEN,EQ,       377.90,                 19043217.90,50075
,NATIONALUM,EQ,        84.60,               1439515200.10,16895714
,NATNLSTEEL,BE,         3.70,                   107660.70,29382
,NAVINFLUOR,EQ,      3892.65,                527633058.20,136420
,NAVKARCORP,EQ,        51.65,                450762742.80,8624086
,NAVNETEDUL,EQ,        98.05,                 16286737.55,165961
,NAZARA,EQ,      1826.80,                589751601.35,320616
,NBCC,EQ,        53.95,                343730163.50,6327821
,NBIFIN,EQ,      2265.15,                   857062.30,378
,NBVENTURES,EQ,       116.75,                 62556046.05,531758
,NCC,EQ,        92.80,                300141461.05,3212878
,NCLIND,EQ,       237.00,                 98314208.50,411934
,NCPSESDL24,EQ,       104.82,                    35533.98,339
,NDGL,EQ,      1693.85,                   705211.50,414
,NDL,BE,        58.10,                  4597044.45,79129
,NDRAUTO,EQ,       386.45,                 36452415.55,96108
,NDTV,EQ,        75.90,                  3554090.00,46717
,NECCLTD,EQ,        15.45,                  4344715.85,283095
,NECLIFE,EQ,        42.85,                 40901161.00,942002
,NELCAST,EQ,        86.00,                302096113.95,3473836
,NELCO,EQ,       374.25,                 84476527.90,224030
,NEOGEN,EQ,       900.20,                 61642423.60,67393
,NESCO,EQ,       647.60,                 84290454.25,128863
,NETF,EQ,       193.99,                    26188.65,135
,NETFCONSUM,EQ,        69.10,                   260670.85,3774
,NETFDIVOPP,EQ,        40.01,                   599432.04,14930
,NETFGILT5Y,EQ,        48.30,                      385.94,8
,NETFIT,EQ,        29.65,                 22775958.81,774186
,NETFLTGILT,EQ,        22.46,                    55260.75,2464
,NETFMID150,EQ,       105.35,                  4583390.35,43459
,NETFNIF100,EQ,       165.28,                   176340.00,1068
,NETFNV20,EQ,        87.92,                   552397.11,6308
,NETFPHARMA,EQ,        14.54,                  2750840.79,189244
,NETFSDL26,EQ,       103.62,                 68092595.78,657178
,NETWORK18,EQ,        51.30,                 47665508.85,924443
,NEULANDLAB,BE,      2228.65,                 26978128.05,12054
,NEWGEN,BE,       699.50,                 89964889.25,130317
,NEXTMEDIA,EQ,         5.80,                    60698.05,10386
,NFL,EQ,        62.85,                106713359.50,1686658
,NH,EQ,       528.25,                277261949.70,526917
,NHAI,NA,      1240.27,                  3818646.50,3080
,NHAI,N2,      1252.00,                   458202.00,366
,NHAI,N6,      1277.99,                   738768.13,577
,NHAI,N8,      1116.60,                    22332.00,20
,NHAI,N1,      1084.55,                   948640.95,875
,NHAI,NC,      1165.00,                    34950.00,30
,NHAI,N4,      1185.00,                   192920.00,160
,NHBTF2014,N6,      7151.01,                  3237618.10,453
,NHBTF2014,N4,      5775.00,                   271425.00,47
,NHPC,EQ,        26.00,                 65339768.00,2509408
,NHPC,N6,      1440.00,                     1440.00,1
,NIACL,EQ,       166.30,                 47835592.75,286897
,NIBL,BE,        17.80,                   751777.55,41639
,NIFTYBEES,EQ,       170.60,                119122155.85,699257
,NIFTYEES,EQ,     20250.00,                    40500.00,2
,NIITLTD,EQ,       291.40,                168605179.10,575845
,NILAINFRA,EQ,         6.30,                  3824111.30,608438
,NILASPACES,BE,         2.15,                   571949.15,264595
,NILKAMAL,EQ,      2507.50,                 81771173.10,32814
,NIPPOBATRY,EQ,      1088.75,                251836767.45,231460
,NIRAJ,EQ,        50.20,                  2270649.05,44683
,NITCO,EQ,        27.65,                  1311342.85,47320
,NITINFIRE,BZ,         1.85,                    81017.05,43793
,NITINSPIN,EQ,       162.40,                205901008.20,1286596
,NITIRAJ,EQ,        51.90,                   219769.80,4238
,NKIND,BE,        28.85,                     3946.90,135
,NLCINDIA,EQ,        60.45,                 99631415.15,1644526
,NOCIL,EQ,       262.35,                666600085.35,2519810
,NOIDATOLL,EQ,         6.75,                  1465556.50,218991
,NORBTEAEXP,EQ,         6.85,                     7788.45,1137
,NOVARTIND,EQ,      1046.35,                139582597.55,134038
,NPBET,EQ,       190.05,                    95556.72,504
,NRAIL,EQ,       256.25,                 12814903.85,50410
,NRBBEARING,EQ,       140.70,                 39321899.85,277312
,NSIL,EQ,      1784.65,                  1298609.40,731
,NTL,BE,         1.45,                    34061.95,23491
,NTPC,NC,      1275.00,                     6375.00,5
,NTPC,N7,        13.81,                   786951.35,56929
,NTPC,N1,      1133.00,                     2264.05,2
,NUCLEUS,EQ,       691.90,                119193971.20,171192
,NURECA,EQ,      1632.95,                 15767248.25,9641
,NXTDIGITAL,EQ,       510.15,                 15141849.60,29833
,OAL,EQ,       878.85,                 20214175.10,22831
,OBEROIRLTY,EQ,       686.60,                243551321.35,354499
,OCCL,EQ,      1074.95,                 62887506.65,58652
,OIL,EQ,       165.85,                193089731.80,1150851
,OILCOUNTUB,BE,         7.40,                    88681.60,11984
,OLECTRA,BE,       246.25,                 56653248.70,228289
,OMAXAUTO,EQ,        71.40,                 22548686.65,312522
,OMAXE,EQ,        91.60,                 11736015.25,127663
,OMINFRAL,EQ,        34.80,                 23743606.75,669204
,OMKARCHEM,EQ,         9.25,                    27056.25,2925
,ONEPOINT,BE,        50.05,                  8333147.95,166869
,ONMOBILE,EQ,       147.75,                232743438.15,1568619
,ONWARDTEC,BE,       233.85,                 10974308.75,47896
,OPTIEMUS,BE,       173.90,                 17204049.45,101421
,OPTOCIRCUI,BE,         4.55,                  1558168.60,338550
,ORBTEXP,EQ,        75.55,                 12488558.00,162616
,ORCHPHARMA,BE,       547.20,                  2004940.80,3664
,ORICONENT,EQ,        31.55,                  2765640.45,87270
,ORIENTABRA,EQ,        34.10,                 31378864.50,910450
,ORIENTALTL,EQ,        11.25,                   738186.45,65961
,ORIENTBELL,EQ,       330.40,                  4628951.60,14038
,ORIENTCEM,EQ,       144.65,                 59821506.85,410107
,ORIENTELEC,EQ,       310.15,                 76115844.40,245000
,ORIENTHOT,EQ,        37.90,                  2961626.05,78188
,ORIENTLTD,EQ,        87.25,                  5026272.15,58429
,ORIENTPPR,EQ,        30.55,                 47562622.05,1541848
,ORIENTREF,EQ,       330.70,                 18062473.25,54304
,ORISSAMINE,EQ,      3216.30,                 51098574.25,15763
,ORTEL,BZ,         1.00,                     1200.50,1211
,ORTINLAB,EQ,        36.40,                  3435245.40,94300
,OSIAHYPER,SM,       188.10,                    75240.00,400
,OSWALAGRO,EQ,        19.30,                 10151053.70,527477
,OSWALSEEDS,SM,        42.80,                  1368200.00,32000
,PAEL,BZ,         7.20,                    71798.25,10165
,PAGEIND,EQ,     32887.60,                909942441.55,27744
,PAISALO,EQ,       663.90,                 60357999.75,91547
,PALASHSECU,BE,        74.95,                   272805.85,3501
,PALREDTEC,EQ,       111.65,                  2545580.70,22319
,PANACEABIO,EQ,       369.95,                 32361224.55,87056
,PANACHE,EQ,        81.50,                  2200775.75,26803
,PANAMAPET,EQ,       262.75,                 75604239.10,285602
,PAR,SM,       120.15,                  9564200.00,80000
,PARACABLES,EQ,        23.40,                116813819.25,4945401
,PARAGMILK,EQ,       140.60,                117544275.35,843653
,PARSVNATH,EQ,        14.00,                  7564196.10,540549
,PATELENG,EQ,        19.15,                 32547533.10,1701691
,PATINTLOG,EQ,        26.20,                  3412167.00,130494
,PATSPINLTD,BE,         7.70,                   109224.65,13881
,PBAINFRA,EQ,        15.75,                   901045.70,56640
,PCJEWELLER,EQ,        27.20,                100049340.55,3637417
,PDMJEPAPER,EQ,        45.75,                 82185721.80,1797068
,PDSMFL,EQ,      1024.25,                  7633669.10,7316
,PEARLPOLY,EQ,        17.45,                   974928.20,55330
,PENIND,EQ,        34.90,                133391929.60,3757904
,PENINLAND,BE,        14.30,                  6392604.55,447659
,PENTAGOLD,SM,        93.45,                 15987000.00,171000
,PERSISTENT,EQ,      2786.65,                809126022.50,289432
,PFC,N4,      1081.00,                   540500.00,500
,PFC,N8,      1432.00,                     7160.00,5
,PFC,N3,      1335.00,                   185565.00,139
,PFIZER,EQ,      5757.90,                201249805.50,35055
,PFOCUS,BE,        56.50,                  1222590.05,21459
,PFS,EQ,        19.70,                 16117547.95,809363
,PGEL,EQ,       410.70,                 14032556.15,34471
,PGHL,EQ,      5707.30,                 29810060.65,5208
,PGIL,EQ,       277.10,                 24709148.45,87147
,PGINVIT,IV,       114.53,                120846585.00,1060600
,PHILIPCARB,EQ,       241.65,                271513634.75,1115823
,PHOENIXLTD,EQ,       859.20,                 79243293.90,91899
,PIGL,SM,        52.25,                   524900.00,10000
,PIIND,EQ,      2962.15,                434576132.45,146564
,PILANIINVS,EQ,      1997.10,                  6403605.95,3193
,PILITA,EQ,         8.60,                 28565211.80,3350550
,PIONDIST,EQ,       128.55,                  1788103.80,13849
,PIONEEREMB,EQ,        60.70,                 52131738.45,839861
,PITTIENG,EQ,       151.65,                 41304638.30,275325
,PKTEA,BE,       322.50,                   612092.80,1948
,PLASTIBLEN,EQ,       285.45,                 86747748.80,303406
,PNBGILTS,EQ,        72.55,                 22719406.00,312127
,PNBHOUSING,BE,       735.10,                 44536967.50,60152
,PNC,BE,        41.30,                   331342.35,8066
,PNCINFRA,EQ,       296.10,                235118215.50,781242
,PODDARHOUS,EQ,       238.35,                 13913808.90,58623
,PODDARMENT,EQ,       314.60,                 19117760.15,60767
,POKARNA,EQ,       365.30,                 34538820.10,94244
,POLYCAB,EQ,      1903.25,                694618736.00,363840
,POLYMED,EQ,       984.95,                 57380246.30,58118
,POLYPLEX,EQ,      1522.50,                177293590.55,116463
,PONNIERODE,EQ,       315.45,                 16182919.05,51025
,POWERINDIA,EQ,      1914.40,                 44987000.70,23306
,POWERMECH,EQ,       841.15,                107521286.85,128538
,PPAP,EQ,       255.75,                 17637530.85,69828
,PPL,EQ,       171.55,                 31750822.30,183988
,PRADIP,BE,         1.15,                    10403.15,9445
,PRAENG,EQ,        18.60,                  5085744.75,273812
,PRAJIND,BE,       365.75,                 94120160.70,256770
,PRAKASH,EQ,        79.10,                 93984298.00,1180715
,PRAKASHSTL,BE,         1.30,                   360180.60,277062
,PRAXIS,EQ,        44.55,                  1085141.10,24726
,PRECAM,EQ,        89.15,                 61369240.70,677111
,PRECOT,EQ,       260.30,                  5194286.50,19955
,PRECWIRE,EQ,       222.40,                  4748516.35,21060
,PREMEXPLN,EQ,       206.35,                  9637619.35,46798
,PREMIER,BE,         3.95,                    32768.65,8214
,PREMIERPOL,EQ,        71.20,                  1937340.65,26976
,PRESSMN,EQ,        35.70,                 15327759.55,432392
,PRESTIGE,EQ,       300.25,                116349944.05,383218
,PRICOLLTD,EQ,       101.65,                132817687.40,1297863
,PRIMESECU,EQ,        81.70,                 21844669.25,279609
,PRINCEPIPE,EQ,       705.75,                528770627.80,742404
,PRITI,SM,        95.90,                   590000.00,6400
,PRIVISCL,EQ,      1369.85,                 46684307.55,34293
,PROINDIA,EQ,         7.70,                     4119.50,535
,PROZONINTU,BE,        34.15,                  8498397.80,248282
,PRSMJOHNSN,EQ,       140.90,                 68990815.75,484415
,PSB,EQ,        20.20,                  8425755.90,415482
,PSPPROJECT,EQ,       466.90,                145796364.30,306577
,PSUBNKBEES,EQ,        27.17,                 18034594.73,662925
,PTC,EQ,       101.95,                 99903705.35,978044
,PTL,EQ,        49.70,                  8349828.80,165552
,PUNJABCHEM,EQ,      1438.00,                391018135.95,271501
,PUNJLLOYD,BZ,         2.50,                   546097.50,218323
,PURVA,EQ,       108.45,                 88870479.55,823072
,PVR,EQ,      1390.85,                808359809.15,580415
,QGOLDHALF,EQ,      2069.00,                   612434.95,296
,QNIFTY,EQ,      1649.00,                    14796.00,9
,QUESS,EQ,       758.95,               1261754815.85,1660163
,QUICKHEAL,EQ,       312.95,                279368354.75,897606
,RADAAN,BE,         1.05,                     3160.50,3010
,RADICO,EQ,       773.80,                156303244.30,204295
,RADIOCITY,EQ,        25.85,                 21474657.30,830420
,RAILTEL,EQ,       149.10,                789720232.20,5352070
,RAIN,EQ,       229.70,                665524090.60,2873949
,RAJESHEXPO,EQ,       580.80,                979087656.25,1676513
,RAJMET,BE,       152.70,                   245146.15,1614
,RAJRATAN,BE,      1664.35,                  7198386.05,4346
,RAJRAYON,BZ,          .30,                    79470.60,248927
,RAJSREESUG,BE,        34.30,                  1187253.80,34745
,RAJTV,EQ,        53.60,                  1788439.15,33386
,RALLIS,EQ,       319.25,                256348078.70,801536
,RAMANEWS,EQ,        21.85,                  4378569.80,198746
,RAMASTEEL,EQ,       150.15,                 11252278.05,74222
,RAMCOCEM,EQ,      1109.10,                239703703.05,216319
,RAMCOIND,EQ,       285.10,                 65363139.40,229174
,RAMCOSYS,EQ,       621.75,                 78405638.65,125234
,RAMKY,BE,       171.85,                 21529892.65,128598
,RANASUG,EQ,        35.85,                124157975.25,3384087
,RANEENGINE,EQ,       349.20,                 19179719.65,53916
,RANEHOLDIN,EQ,       706.60,                124322680.70,175359
,RATNAMANI,EQ,      2066.05,                 28306172.50,13703
,RAYMOND,EQ,       448.00,                601763140.25,1328174
,RBL,EQ,      1058.70,                300414763.45,267524
,RBLBANK,EQ,       218.75,                739460259.50,3365130
,RCF,EQ,        83.10,                200429697.65,2401353
,RCOM,EQ,         3.65,                 40865729.20,11225509
,RECLTD,EQ,       147.95,                389018150.60,2628532
,RECLTD,NF,      1302.14,                   598903.70,460
,RECLTD,N8,      1130.00,                   113000.00,100
,RECLTD,N9,      1286.00,                   893465.54,695
,RECLTD,NI,      1184.74,                   156621.00,132
,RECLTD,N2,      1191.25,                   119125.00,100
,RECLTD,N6,      1285.08,                    51403.20,40
,REDINGTON,EQ,       337.75,                482802143.90,1415432
,REFEX,EQ,       140.65,                 13167373.85,93207
,RELAXO,EQ,      1164.20,                155967971.15,133595
,RELCAPITAL,EQ,        20.60,                 96577392.45,4627628
,RELIANCEP1,E1,      1461.10,                217774650.75,148879
,RELIGARE,EQ,       140.30,                298905620.85,2134724
,RELINFRA,BE,        82.85,                 59445282.35,714334
,REMSONSIND,EQ,       270.20,                  2115926.35,7752
,RENUKA,BE,        36.50,                114982236.70,3144174
,REPCOHOME,EQ,       376.70,                200123646.20,522330
,REPL,EQ,       237.40,                 28461074.85,118015
,REPRO,EQ,       365.15,                  3498664.50,9467
,RESPONIND,EQ,       136.75,                 27864338.85,202673
,REVATHI,EQ,       701.95,                  3902502.15,5517
,RGL,EQ,       552.95,                 18157183.70,32962
,RHFL,BE,         5.00,                  9188323.70,1869855
,RHFL,N4,       230.00,                   151800.00,660
,RICOAUTO,EQ,        50.70,                266401130.25,5245718
,RIIL,EQ,       794.15,                467718023.55,579643
,RITES,EQ,       293.85,                478547523.90,1604846
