,15-Mar-2021
The Nifty witnessed an intraday movement of about 302.55 points.The closing index was 0.67 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 60004.18
, Traded Quantity (in Lakhs), 28221.39
, Number of Trades, 20212523
, Total Market Capitalisation (Rs. Crores), 20565517.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15030.95,     15048.40,     15048.40,     14745.85,     14929.50,-101.45
,NIFTY50 EQL Wgt,     16290.90,     16344.45,     16344.45,     16006.15,     16241.55,-49.35
,NIFTY100 EQL Wgt,     17203.50,     17264.00,     17266.25,     16906.15,     17128.85,-74.65
,NIFTY100 LowVol30,     11333.30,     11345.45,     11348.35,     11190.65,     11287.95,-45.35
,NIFTY Alpha 50,     22517.80,     22660.85,     22660.85,     22192.55,     22460.35,-57.45
,NIFTY MIDCAP 150,      9144.40,      9190.40,      9193.50,      8989.05,      9081.95,-62.45
,NIFTY SMLCAP 50,      4259.30,      4285.05,      4286.65,      4181.25,      4214.05,-45.25
,NIFTY SMLCAP 250,      7212.80,      7255.55,      7259.90,      7097.65,      7159.70,-53.1
,NIFTY MIDSML 400,      8455.55,      8500.50,      8503.65,      8319.80,      8396.40,-59.15
,NIFTY200 QUALTY30,     12328.85,     12344.05,     12350.00,     12185.75,     12290.90,-37.95
,Nifty FinSrv25 50,     16181.95,     16211.25,     16211.25,     15738.55,     15980.95,-201
,NIFTY AlphaLowVol,     13946.65,     13977.75,     13992.75,     13767.25,     13891.45,-55.2
,Nifty200Momentm30,     14724.70,     14781.60,     14785.75,     14492.60,     14696.35,-28.35
,Nifty100ESGSecLdr,      2549.80,      2552.10,      2552.60,      2510.90,      2534.45,-15.35
,Nifty IT,     25888.25,     25859.15,     26094.15,     25651.80,     26032.05,143.8
,Nifty Next 50,     34808.95,     34946.45,     34958.60,     34201.10,     34624.10,-184.85
,Nifty Bank,     35496.65,     35544.25,     35544.25,     34430.65,     35182.55,-314.1
,NIFTY MIDCAP 100,     24115.60,     24238.65,     24239.80,     23654.70,     23952.30,-163.3
,Nifty 500,     12593.90,     12623.05,     12624.30,     12364.95,     12510.15,-83.75
,Nifty 100,     15140.15,     15163.25,     15165.40,     14856.30,     15040.85,-99.3
,Nifty Midcap 50,      6964.75,      7004.20,      7004.20,      6812.75,      6926.95,-37.8
,Nifty Realty,       349.35,       351.60,       351.60,       342.70,       347.95,-1.4
,Nifty Infra,      4232.35,      4249.90,      4251.55,      4147.20,      4202.35,-30
,Nifty Energy,     19318.30,     19440.15,     19440.85,     19005.75,     19322.90,4.6
,Nifty FMCG,     33068.50,     33172.60,     33179.80,     32720.00,     33058.85,-9.65
,Nifty MNC,     16131.55,     16203.85,     16203.85,     15951.20,     16038.40,-93.15
,Nifty Pharma,     12184.25,     12213.75,     12215.15,     11848.30,     12024.50,-159.75
,Nifty PSE,      3296.35,      3310.70,      3310.70,      3250.75,      3300.85,4.5
,Nifty PSU Bank,      2311.90,      2326.95,      2326.95,      2252.95,      2315.65,3.75
,Nifty Serv Sector,     21249.95,     21248.50,     21250.95,     20832.05,     21096.95,-153
,India VIX,21.7075,21.7075,22.9325,20.9950,21.2275,-0.4800
,Nifty Auto,     10383.90,     10446.75,     10450.20,     10178.25,     10335.10,-48.8
,Nifty Metal,      3840.20,      3845.50,      3890.35,      3785.05,      3880.05,39.85
,Nifty Media,      1715.20,      1720.00,      1721.00,      1666.65,      1690.55,-24.65
,NIFTY SMLCAP 100,      8482.90,      8530.35,      8536.15,      8341.05,      8416.10,-66.8
,Nifty 200,      7839.75,      7855.15,      7855.95,      7692.55,      7788.10,-51.65
,Nifty Div Opps 50,      3071.95,      3078.85,      3079.85,      3040.15,      3074.05,2.1
,Nifty Commodities,      4469.10,      4491.25,      4491.50,      4397.00,      4476.25,7.15
,Nifty Consumption,      5910.45,      5938.25,      5938.35,      5831.80,      5875.85,-34.6
,Nifty Fin Service,     16506.35,     16518.30,     16518.30,     16056.20,     16301.25,-205.1
,Nifty50 Div Point,       110.23,       112.66,       112.66,       112.66,       112.66,2.43
,Nifty100 Liq 15,      3772.40,      3782.95,      3782.95,      3683.35,      3748.55,-23.85
,Nifty CPSE,      1890.05,      1893.05,      1894.65,      1861.45,      1888.05,-2
,Nifty GrowSect 15,      7182.45,      7191.15,      7191.15,      7023.85,      7105.60,-76.85
,Nifty50 PR 2x Lev,      6907.45,      6921.60,      6921.60,      6643.65,      6812.35,-95.1
,Nifty50 PR 1x Inv,       291.65,       291.40,       297.30,       291.40,       293.70,2.05
,Nifty50 TR 2x Lev,      9211.45,      9233.30,      9233.30,      8862.65,      9087.60,-123.85
,Nifty50 TR 1x Inv,       252.70,       252.40,       257.50,       252.40,       254.40,1.7
,Nifty50 Value 20,      7410.35,      7414.45,      7432.20,      7330.00,      7415.30,4.95
,Nifty Mid Liq 15,      5886.25,      5920.80,      5920.80,      5756.95,      5826.95,-59.3
,Nifty Pvt Bank,     19033.90,     19058.15,     19058.15,     18445.40,     18828.60,-205.3
,NIFTY100 Qualty30,      3361.40,      3362.75,      3363.60,      3318.15,      3348.20,-13.2
,Nifty GS 8 13Yr,      2200.56,      2200.94,      2201.29,      2197.88,      2201.09,.53
,Nifty GS 10Yr,      2001.42,      2001.75,      2006.60,      2000.48,      2006.60,5.18
,Nifty GS 10Yr Cln,       941.24,       941.24,       943.56,       940.63,       943.56,2.32
,Nifty GS 4 8Yr,      2356.13,      2356.49,      2357.87,      2355.84,      2357.87,1.74
,Nifty GS 11 15Yr,      2349.71,      2350.14,      2350.14,      2344.90,      2348.97,-.74
,Nifty GS 15YrPlus,      2594.47,      2594.96,      2594.96,      2594.96,      2594.96,.49
,Nifty GS Compsite,      2247.40,      2247.78,      2248.25,      2244.97,      2248.20,.8

,ADVANCES,691
,DECLINES,1316
,UNCHANGED,74

,Total securities that have hit their price bands today,397

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       750.60,       744.40,-0.83,1641.44
,HBSL,BE,        22.65,                   183727.20,8075
,HCC,EQ,         8.85,                 49774290.95,5711586
,HCG,EQ,       172.25,                 23348516.65,133727
,HCL-INSYS,EQ,        10.20,                  1867344.60,183073
,HDFC,W3,       828.00,                 61457010.00,76800
,HDFCMFGETF,EQ,        40.12,                 33320548.93,831528
,HDFCNIFETF,EQ,       158.02,                  2123341.20,13515
,HDFCSENETF,EQ,       536.61,                  1599251.94,2983
,HDIL,BZ,         5.90,                  2787075.85,482585
,HEG,EQ,      1629.05,                862474624.65,536819
,HEIDELBERG,EQ,       224.65,                 68875655.95,307483
,HEMIPROP,BE,       167.65,                121393518.00,729881
,HERANBA,EQ,       707.50,                624547341.05,868864
,HERCULES,EQ,       123.80,                  6798511.85,55253
,HERITGFOOD,EQ,       336.00,                 60570343.15,181218
,HESTERBIO,EQ,      1766.60,                 12889371.35,7371
,HEXATRADEX,BE,        69.30,                  1190591.25,17111
,HFCL,EQ,        27.85,                 91663698.80,3289154
,HGINFRA,EQ,       282.10,                 33044376.40,120052
,HGS,EQ,      1172.25,                 30775983.45,26270
,HIKAL,EQ,       154.90,                 54691826.00,352968
,HIL,EQ,      3142.20,                 40996861.90,13325
,HILTON,EQ,        10.50,                   101921.45,9613
,HIMATSEIDE,EQ,       161.80,                 28895554.45,179736
,HINDCOMPOS,EQ,       299.60,                  2048930.55,6816
,HINDCOPPER,EQ,       134.35,                420387833.40,3154298
,HINDMOTORS,BE,         6.90,                   492351.85,71081
,HINDNATGLS,EQ,        27.35,                 16212470.85,581566
,HINDOILEXP,EQ,       106.40,                 60572038.45,574848
,HIRECT,EQ,       134.55,                  2680848.85,19832
,HISARMETAL,EQ,       108.00,                  2761394.55,25569
,HITECH,EQ,       357.20,                 16049297.00,44820
,HITECHCORP,EQ,       134.55,                   475536.20,3594
,HITECHGEAR,EQ,       187.00,                  3524549.10,18974
,HLEGLAS,EQ,      2698.25,                 22659094.30,8228
,HLVLTD,EQ,         6.90,                  8199747.50,1168083
,HMT,BZ,        37.90,                  4007974.75,106471
,HMVL,EQ,        69.05,                  2992763.25,43428
,HNDFDS,EQ,      2105.80,                 52921635.65,24896
,HNGSNGBEES,EQ,       352.77,                   851597.60,2440
,HOMEFIRST,EQ,       501.85,                101788147.55,202377
,HONAUT,EQ,     48621.75,                490133286.05,9976
,HONDAPOWER,EQ,      1048.55,                  4183027.50,3991
,HOVS,EQ,        44.75,                  2921128.05,64641
,HPIL,SM,        47.00,                   141000.00,3000
,HPL,EQ,        58.70,                321444169.20,5767033
,HSCL,EQ,        45.20,                240098751.55,5335847
,HSIL,EQ,       164.50,                 23379511.75,141870
,HTMEDIA,EQ,        24.50,                  4448251.90,178367
,HUBTOWN,BE,        16.90,                   288732.45,16992
,HUDCO,EQ,        50.00,                143685697.65,2914503
,HUDCO,NE,      1419.71,                  2921296.63,2058
,HUDCO,N9,      1235.00,                   670580.00,541
,HUDCO,N3,      1038.14,                  1294819.20,1248
,HUDCO,N5,      1168.01,                    29200.25,25
,HUDCO,ND,      1277.11,                  1838195.50,1441
,HUDCO,N2,      1191.90,                  1078329.50,905
,HUHTAMAKI,EQ,       274.10,                 20517433.80,74835
,IBMFNIFTY,EQ,       152.55,                    39255.70,257
,IBREALEST,EQ,       100.30,               1932186346.55,19057693
,IBUCCREDIT,N7,       905.00,                    41644.98,46
,IBULHSGFIN,EQ,       218.15,               3516590303.40,16220715
,IBULHSGFIN,N6,      1005.00,                     1005.00,1
,IBULHSGFIN,N5,      1100.00,                    19401.25,20
,IBULHSGFIN,NA,       890.00,                   106800.00,120
,IBULHSGFIN,N8,       914.99,                    36549.85,40
,ICEMAKE,EQ,        70.60,                  1764509.55,24931
,ICICI500,EQ,       205.36,                  1237091.48,6025
,ICICIALPLV,EQ,       139.97,                   386407.56,2768
,ICICIB22,EQ,        37.60,                 12852415.32,344400
,ICICIBANKN,EQ,       349.21,                  2269990.51,6556
,ICICIBANKP,EQ,       186.05,                 11457354.50,62050
,ICICIGOLD,EQ,        39.89,                 13908899.64,348304
,ICICILIQ,EQ,      1000.00,                 16121991.78,16122
,ICICILOVOL,EQ,       118.30,                  7193965.51,60967
,ICICIM150,EQ,        91.53,                  3801468.72,41690
,ICICIMCAP,EQ,        86.74,                   913326.00,10536
,ICICINF100,EQ,       161.60,                  3218426.77,19923
,ICICINIFTY,EQ,       159.03,                 88802931.21,562146
,ICICINV20,EQ,        77.82,                  3624554.95,46856
,ICICINXT50,EQ,        35.29,                  4801874.82,136230
,ICICISENSX,EQ,       542.35,                  1096120.38,2027
,ICICITECH,EQ,       262.84,                 53589564.97,204934
,ICIL,EQ,       124.15,                 28258530.65,229394
,ICRA,EQ,      2791.75,                  7183766.15,2604
,IDBI,EQ,        40.35,               1813736752.10,44621653
,IDBIGOLD,EQ,      4110.40,                   843102.15,205
,IDEA,EQ,        10.05,               1299190187.30,129573177
,IDFC,EQ,        54.30,                324748714.75,6063825
,IDFCFIRSTB,EQ,        65.25,               2405810525.20,37011774
,IDFCFIRSTB,NC,     10680.00,                   234800.00,22
,IDFCFIRSTB,NB,      5032.00,                    50298.00,10
,IDFCFIRSTB,N9,      5150.00,                   128750.00,25
,IDFCFIRSTB,NE,     10500.00,                   104820.02,10
,IDFNIFTYET,EQ,       155.39,                    24178.71,156
,IEX,EQ,       344.20,               2731240597.80,7867691
,IFBAGRO,EQ,       412.15,                  3565003.40,8611
,IFBIND,EQ,      1125.95,                121066780.30,108355
,IFCI,EQ,        15.00,                438715868.80,28839405
,IFCI,NG,      1800.00,                    18000.00,10
,IFCI,NH,      1060.02,                  2124542.04,2004
,IFCI,NF,      1039.00,                    31170.00,30
,IFCI,NL,      1048.95,                     3145.90,3
,IFGLEXPOR,EQ,       262.20,                135002959.45,513998
,IGARASHI,EQ,       311.95,                 55280497.65,176980
,IGPL,EQ,       495.35,                 30243632.80,61450
,IIFCL,N4,      1382.60,                   660649.00,476
,IIFCL,N2,      1185.00,                   118500.00,100
,IIFL,EQ,       316.45,                205275460.60,655297
,IIFL,N7,      1020.00,                   153000.00,150
,IIFL,N9,      1029.00,                   419890.00,410
,IIFL,N5,      1030.00,                    25750.00,25
,IIFL,NC,      1000.00,                   770000.00,770
,IIFL,N6,      1010.00,                   782500.00,774
,IIFL,N4,      1018.67,                  1179845.89,1163
,IIFL,N2,      1011.10,                    50555.00,50
,IIFLSEC,EQ,        53.35,                 19844879.55,375147
,IIFLWAM,EQ,      1174.15,                 13453946.75,11461
,IITL,EQ,        59.90,                   164458.55,2771
,IL&FSENGG,BZ,         3.50,                   117859.85,33529
,IL&FSTRANS,BZ,         2.50,                    49800.00,19920
,IMAGICAA,BE,         7.85,                  2082838.55,258492
,IMFA,EQ,       462.60,                  8463127.55,18322
,IMPAL,EQ,       719.45,                  4390652.55,6115
,IMPEXFERRO,EQ,          .85,                    87565.30,103018
,INDBANK,EQ,        13.90,                  1557242.80,114188
,INDHOTEL,EQ,       122.95,                129313726.65,1057819
,INDIACEM,EQ,       168.85,                263764223.50,1564759
,INDIAGLYCO,EQ,       491.45,                301861769.45,605230
,INDIAMART,EQ,      8343.65,               1171491008.95,140526
,INDIANB,EQ,       126.85,                283801766.55,2232322
,INDIANCARD,EQ,       150.10,                   863932.55,5817
,INDIANHUME,EQ,       192.40,                  8644981.70,45078
,INDIGOPNTS,EQ,      2464.35,                 95487953.20,38626
,INDIGRID,IV,       139.19,                 60951779.91,442260
,INDLMETER,EQ,        15.90,                    62568.85,3935
,INDNIPPON,EQ,       381.75,                  6313725.70,16808
,INDOCO,EQ,       297.75,                 57930614.00,195165
,INDORAMA,EQ,        40.15,                  3480447.60,87790
,INDOSOLAR,BZ,         2.50,                  1027766.40,413211
,INDOSTAR,EQ,       366.00,                219197343.15,599222
,INDOTECH,EQ,        98.40,                  1100084.15,11152
,INDOTHAI,BE,        48.05,                   202182.10,4176
,INDOWIND,BE,         4.35,                   377014.50,86337
,INDRAMEDCO,EQ,        53.00,                  4295485.95,80911
,INDSWFTLAB,EQ,        86.55,                 26771234.00,309530
,INDSWFTLTD,BE,         3.95,                    32350.50,8190
,INDTERRAIN,BE,        34.00,                 15547832.70,457192
,INDUSTOWER,EQ,       254.80,                361238442.70,1429372
,INEOSSTYRO,EQ,      1008.25,                 86215886.60,85169
,INFIBEAM,EQ,        97.15,               2079660041.25,21212442
,INFOBEAN,EQ,       146.65,                  1503609.60,10173
,INFOMEDIA,BE,         3.95,                    53939.30,13784
,INFRABEES,EQ,       432.87,                  1147232.96,2644
,INGERRAND,EQ,       734.55,                 11409539.50,15514
,INNOVANA,SM,        84.75,                    84750.00,1000
,INNOVATIVE,SM,         8.75,                   131250.00,15000
,INOXLEISUR,EQ,       328.50,                204620083.10,633768
,INOXWIND,EQ,        68.10,                  5682622.05,83126
,INSECTICID,EQ,       445.85,                 12970822.05,28945
,INSPIRISYS,EQ,        44.05,                   643323.20,14588
,INTEGRA,BE,         3.00,                    45582.00,15194
,INTELLECT,EQ,       522.60,                558668160.25,1081788
,INTENTECH,EQ,        34.15,                  1048639.75,30677
,INVENTURE,EQ,        28.20,                  2629199.70,93697
,IOB,EQ,        17.25,                189948744.20,10965722
,IOLCP,EQ,       584.80,                341639012.25,579912
,IPCALAB,EQ,      1919.80,                443640715.25,231223
,IRB,EQ,       116.85,                196436259.30,1663668
,IRBINVIT,IV,        58.48,                 34538850.00,585000
,IRCON,EQ,        85.10,                249240850.75,2926792
,IRCTC,EQ,      1947.05,               4107940655.75,2109912
,IREDA,N5,      1263.00,                   189440.00,150
,IRFC,EQ,        24.65,                428607004.00,17385997
,IRFC,NM,      1220.50,                   122050.00,100
,IRFC,N5,      1071.51,                    12102.97,11
,IRFC,NA,      1368.00,                    13680.00,10
,IRFC,NK,      1325.00,                    13250.00,10
,IRFC,N4,      1224.90,                     1224.90,1
,IRFC,N3,      1084.80,                   195415.00,181
,IRFC,NE,      1400.06,                   846733.50,600
,IRFC,N1,      1067.01,                   123782.20,116
,IRFC,NO,      1251.44,                   312368.25,250
,IRISDOREME,EQ,        94.50,                   850376.50,8810
,ISEC,EQ,       411.30,                182785420.85,448763
,ISFT,EQ,        71.55,                  4941448.00,70438
,ISMTLTD,EQ,        11.05,                  2286173.80,208843
,ITDC,EQ,       423.35,                836664829.85,2020077
,ITDCEM,EQ,        86.05,                102922960.75,1214293
,ITI,EQ,       128.40,                141588091.80,1100941
,IVC,EQ,         4.40,                   863098.70,196472
,IVP,BE,       124.00,                    93194.65,748
,IVZINGOLD,EQ,      4059.15,                   679912.95,167
,IVZINNIFTY,EQ,      1610.25,                    45037.60,28
,IZMO,EQ,        52.50,                  1152054.80,22046
,J&KBANK,EQ,        28.50,                 71745687.20,2515623
,JAGRAN,EQ,        58.00,                 41361360.50,722949
,JAGSNPHARM,EQ,        86.85,                 15594208.65,177119
,JAIBALAJI,BE,        34.70,                  1324192.80,38062
,JAICORPLTD,EQ,        95.55,                106873577.75,1117348
,JAINSTUDIO,BZ,         2.10,                      105.00,50
,JALAN,SM,         3.70,                    22200.00,6000
,JAMNAAUTO,EQ,        71.85,                104750012.35,1460353
,JASH,EQ,       280.30,                  2812413.10,10059
,JAYAGROGN,EQ,       137.50,                  1941210.30,13945
,JAYBARMARU,EQ,       241.55,                  8227690.40,33928
,JAYNECOIND,EQ,        12.85,                 13016049.05,1023935
,JAYSREETEA,EQ,        74.55,                 18734895.85,250985
,JBCHEPHARM,EQ,      1203.35,                142715053.85,119379
,JBFIND,EQ,        10.75,                  2337887.25,211603
,JBMA,EQ,       456.60,                 15190383.50,33413
,JCHAC,EQ,      2680.40,                 40609992.40,15140
,JETAIRWAYS,BZ,       109.60,                  7244129.60,67592
,JHS,BE,        22.65,                  2669951.70,118619
,JIKIND,BE,          .60,                    42295.20,70492
,JINDALPHOT,EQ,        48.10,                   480038.00,9980
,JINDALPOLY,EQ,       914.35,                510838165.25,560355
,JINDALSAW,EQ,        79.60,                117968693.60,1490900
,JINDALSTEL,EQ,       326.10,               2464007597.65,7642941
,JINDCOT,BE,         1.60,                    25188.80,15743
,JINDRILL,EQ,        95.40,                  3759838.05,39425
,JINDWORLD,EQ,        52.05,                 14453446.25,275117
,JISLDVREQS,BE,        13.50,                   355133.25,26286
,JISLJALEQS,EQ,        22.55,                 35157090.80,1548936
,JITFINFRA,BE,         8.60,                    51222.70,5841
,JIYAECO,BE,         6.25,                   129284.00,20612
,JKCEMENT,EQ,      2953.20,                178714832.65,61955
,JKIL,EQ,       194.20,                 26631425.05,137689
,JKLAKSHMI,EQ,       423.20,                 87365638.75,204154
,JKPAPER,EQ,       157.65,                240173995.40,1552405
,JKTYRE,EQ,       121.60,                128132335.90,1051158
,JMA,EQ,        33.50,                   217773.90,6476
,JMCPROJECT,EQ,        79.50,                 11090305.05,139384
,JMFINANCIL,EQ,        96.75,                225676270.60,2364242
,JMTAUTOLTD,BE,         2.90,                  1031210.95,364561
,JNPT,N1,      1051.00,                     7357.00,7
,JOCIL,EQ,       155.30,                  1531719.25,9797
,JPASSOCIAT,EQ,         8.25,                116279995.40,14358065
,JPINFRATEC,EQ,         1.80,                  1118633.85,615758
,JPOLYINVST,BE,        32.20,                   218517.90,6889
,JPPOWER,EQ,         2.70,                 20976486.10,7707719
,JSL,EQ,        70.00,                 64725305.25,911343
,JSLHISAR,EQ,       119.60,                 79630647.00,662498
,JSWENERGY,EQ,        85.90,                454445736.90,5374431
,JSWHL,EQ,      3661.80,                  4271833.30,1158
,JSWISPL,EQ,        25.65,                 13610874.55,531140
,JTEKTINDIA,EQ,        91.50,                 40026074.20,441636
,JUBLFOOD,EQ,      2962.90,               1271335553.85,427713
,JUBLINDS,EQ,       201.95,                  6560662.65,32165
,JUBLPHARMA,EQ,       757.75,                 66796817.85,88137
,JUMPNET,EQ,        11.40,                   326496.00,28640
,JUNIORBEES,EQ,       362.50,                 25728591.23,71191
,JUSTDIAL,EQ,       923.50,               1331391771.20,1428408
,JYOTHYLAB,EQ,       147.10,                 38999872.45,265027
,JYOTISTRUC,BZ,         3.95,                   331545.90,85903
,KABRAEXTRU,EQ,       171.25,                129533897.65,754903
,KAJARIACER,EQ,       969.55,                179206467.65,183871
,KAKATCEM,EQ,       181.90,                  2123287.20,11685
,KALPATPOWR,EQ,       395.75,                 88577220.30,221985
,KALYANIFRG,BE,       208.95,                   524292.05,2559
,KAMATHOTEL,EQ,        34.45,                  1567117.90,45656
,KAMDHENU,EQ,       139.05,                  8959139.75,65437
,KANANIIND,EQ,         4.70,                    72943.70,15782
,KANORICHEM,BE,        95.05,                  4446419.50,47897
,KANPRPLA,EQ,       154.50,                  3173701.10,20424
,KANSAINER,EQ,       562.65,                458642301.55,801887
,KAPSTON,BE,       104.20,                      208.40,2
,KARDA,EQ,       112.65,                  2021512.60,17642
,KARMAENG,BE,        15.35,                    35932.50,2296
,KARURVYSYA,EQ,        60.70,                140047636.55,2299546
,KAUSHALYA,EQ,         1.90,                    80834.10,42029
,KAVVERITEL,BE,         1.80,                    10065.60,5592
,KAYA,EQ,       307.15,                  9420941.40,30450
,KCP,EQ,        79.50,                 33046354.00,412543
,KCPSUGIND,EQ,        15.85,                  5247208.55,331304
,KDDL,EQ,       281.00,                   811298.50,2847
,KEC,EQ,       459.60,                125161500.50,274786
,KECL,EQ,        13.70,                   885051.00,64911
,KEERTI,EQ,        27.20,                  1511090.75,54157
,KEI,EQ,       490.15,                102584746.00,209971
,KELLTONTEC,EQ,        67.65,                 79960907.25,1165622
,KENNAMET,EQ,      1108.50,                  7005149.40,6345
,KERNEX,BE,        41.60,                  2183788.85,53147
,KESORAMIND,EQ,        81.15,                143921292.60,1826806
,KEYFINSERV,EQ,        63.05,                   136936.35,2172
,KGL,BZ,          .25,                   113923.15,400348
,KHADIM,EQ,       166.90,                 13178567.35,78950
,KHAICHEM,EQ,        24.15,                  4300917.55,178324
,KHAITANLTD,BE,        18.65,                    15641.55,866
,KHANDSE,EQ,        13.65,                    14938.00,1098
,KICL,EQ,      1547.10,                  1210497.10,784
,KILITCH,EQ,        79.85,                   921215.65,11360
,KINGFA,EQ,       664.85,                  7680499.65,11685
,KIOCL,EQ,       154.20,                 14642613.90,94013
,KIRIINDUS,EQ,       476.85,                174807956.95,366846
,KIRLFER,EQ,       158.60,                 20546439.55,130789
,KIRLOSBROS,EQ,       209.55,                 66366566.65,326692
,KIRLOSENG,EQ,       162.10,                 38786726.85,239762
,KIRLOSIND,EQ,      1238.80,                  3827011.20,3063
,KITEX,EQ,       108.10,                 17443509.55,161417
,KKCL,EQ,       925.85,                  1230182.20,1322
,KKVAPOW,SM,       371.05,                    92762.50,250
,KMSUGAR,EQ,        12.20,                  1667287.65,134016
,KNRCON,EQ,       208.65,                 73205876.70,350183
,KOHINOOR,BZ,         7.15,                   195420.70,28343
,KOKUYOCMLN,EQ,        61.65,                 15080086.05,243409
,KOLTEPATIL,EQ,       244.40,                 15985483.50,65646
,KOPRAN,EQ,       108.80,                 32882792.45,304298
,KOTAKBKETF,EQ,       355.40,                 73988610.26,210804
,KOTAKGOLD,EQ,       391.55,                151430861.65,387587
,KOTAKIT,EQ,        26.12,                   712231.43,27496
,KOTAKNIFTY,EQ,       156.24,                 17687697.59,113793
,KOTAKNV20,EQ,        79.16,                   349380.61,4426
,KOTAKPSUBK,EQ,       226.87,                 13348172.29,59254
,KOTARISUG,EQ,        22.80,                  1920761.65,84036
,KOTHARIPET,EQ,        27.05,                  1058707.15,38926
,KOTHARIPRO,EQ,        69.70,                   392382.35,5642
,KPITTECH,EQ,       152.50,                204075208.05,1324851
,KPRMILL,EQ,      1113.05,                 97172261.80,87524
,KRBL,EQ,       188.90,                 79126883.05,419235
,KREBSBIO,EQ,       101.10,                   843661.00,8285
,KRIDHANINF,EQ,         4.05,                   174570.75,43567
,KRISHANA,EQ,        74.35,                   152055.90,1987
,KSB,EQ,       801.15,                 17741940.45,22293
,KSCL,EQ,       516.95,                 78689539.10,152583
,KSERASERA,BZ,          .20,                   407382.60,2560623
,KSL,EQ,       314.90,                 29423914.35,93008
,KTKBANK,EQ,        66.25,                106496976.25,1609673
,KUANTUM,EQ,        74.30,                  3978380.05,53220
,L&TFH,EQ,       102.75,               1489844624.40,14661291
,L&TFINANCE,NU,      1139.00,                  1099766.15,1005
,L&TFINANCE,NA,      1197.01,                    19152.16,16
,L&TFINANCE,Y7,      1069.62,                   995732.60,939
,L&TFINANCE,Y3,      1011.00,                   487476.00,484
,L&TFINANCE,NY,      1035.00,                   360750.00,350
,L&TFINANCE,N8,      1014.51,                    20290.20,20
,L&TFINANCE,NE,      1072.55,                    10725.50,10
,L&TFINANCE,NC,      1084.98,                   108498.90,100
,L&TFINANCE,NW,      1019.20,                    20384.00,20
,L&TFINANCE,Y5,      1067.00,                    53350.00,50
,L&TFINANCE,NQ,      1040.00,                     1040.00,1
,LAKPRE,BZ,         4.75,                     6006.70,1278
,LALPATHLAB,EQ,      2409.85,                633084644.85,265488
,LAMBODHARA,EQ,        60.60,                  4572605.55,76268
,LAOPALA,EQ,       220.30,                 27989810.00,126931
,LASA,EQ,        66.60,                 10611169.70,162016
,LAURUSLABS,EQ,       356.90,                611136456.10,1716020
,LAXMICOT,SM,         8.00,                    48000.00,6000
,LAXMIMACH,EQ,      7579.60,                346925508.55,46138
,LEMONTREE,EQ,        40.05,                 56227726.65,1403611
,LEXUS,SM,        17.00,                    34000.00,2000
,LFIC,EQ,        79.20,                    19420.15,248
,LGBBROSLTD,EQ,       327.90,                 18321179.40,55518
,LGBFORGE,BE,         3.95,                   425498.20,110859
,LIBAS,BE,        47.30,                   263993.55,5717
,LIBERTSHOE,EQ,       138.25,                  5328666.70,38609
,LICHSGFIN,EQ,       419.80,               2148691569.30,5126227
,LICNETFGSC,EQ,        21.47,                    61089.15,2841
,LICNETFN50,EQ,       158.41,                    49861.12,315
,LICNETFSEN,EQ,       542.60,                   320539.08,594
,LICNFNHGP,EQ,       158.76,                    27072.86,170
,LIKHITHA,EQ,       308.80,                 35136982.95,113668
,LINCOLN,EQ,       243.75,                 33665913.10,138168
,LINCPEN,EQ,       160.00,                  1004505.25,6218
,LINDEINDIA,EQ,      1832.35,                385046411.75,208248
,LIQUIDBEES,EQ,      1000.00,                837994508.32,837995
,LIQUIDETF,EQ,      1000.00,                  5136010.67,5136
,LOKESHMACH,BE,        34.90,                   207630.65,5965
,LOTUSEYE,EQ,        46.10,                 11321533.80,248871
,LOVABLE,EQ,        92.10,                  1909319.75,20774
,LPDC,BE,         2.10,                     4387.50,2082
,LSIL,BE,         1.20,                  2274938.35,1879484
,LTMFEOF2R,MF,        14.92,                   609189.00,41100
,LTTS,EQ,      2734.70,                647921359.20,236512
,LUMAXIND,EQ,      1655.95,                 11554150.75,7159
,LUMAXTECH,EQ,       159.40,                 24164737.00,153134
,LUXIND,EQ,      1728.95,                 53716364.00,31027
,LYKALABS,BE,        26.30,                   788190.35,30375
,LYPSAGEMS,EQ,         5.20,                    61706.15,12050
,M&MFIN,EQ,       206.40,               1104347231.75,5409355
,M&MFIN,N3,      1551.00,                    93060.00,60
,M&MFIN,N2,      1105.66,                    11056.60,10
,M100,EQ,        24.97,                  6474139.50,258238
,M14RG,MF,         9.99,                   121350.00,12500
,M15RG,MF,         9.02,                      225.50,25
,M50,EQ,       145.94,                   327499.03,2266
,MAANALU,EQ,       148.90,                  4409475.15,29796
,MACPOWER,BE,        93.00,                   808441.55,8748
,MADHAV,EQ,        52.85,                  1662704.10,30999
,MADHUCON,BE,         6.45,                    80762.75,12445
,MADRASFERT,BE,        28.85,                  2066201.25,71961
,MAESGETF,EQ,        25.22,                   302161.67,11971
,MAGADSUGAR,EQ,       113.15,                   939801.20,8312
