,02-Jul-2021
The Nifty witnessed an intraday movement of about 102.4 points.The closing index was 0.27 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 59964.19
, Traded Quantity (in Lakhs), 30209.85
, Number of Trades, 20738549
, Total Market Capitalisation (Rs. Crores), 22843487.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15680.00,     15705.85,     15738.35,     15635.95,     15722.20,42.2
,NIFTY50 EQL Wgt,     17660.00,     17714.00,     17716.15,     17606.95,     17672.40,12.4
,NIFTY100 EQL Wgt,     18831.10,     18873.85,     18876.35,     18777.60,     18828.40,-2.7
,NIFTY100 LowVol30,     12320.55,     12353.45,     12354.25,     12262.20,     12299.10,-21.45
,NIFTY Alpha 50,     27096.40,     27066.30,     27146.65,     26989.80,     27112.05,15.65
,NIFTY MIDCAP 150,     10160.45,     10184.70,     10230.10,     10169.00,     10224.15,63.7
,NIFTY SMLCAP 50,      4924.55,      4955.55,      4996.35,      4949.15,      4988.25,63.7
,NIFTY SMLCAP 250,      8502.10,      8560.00,      8596.75,      8546.70,      8580.75,78.65
,NIFTY MIDSML 400,      9562.85,      9598.90,      9637.35,      9584.15,      9631.70,68.85
,NIFTY200 QUALTY30,     13469.85,     13506.60,     13508.80,     13411.00,     13457.65,-12.2
,Nifty FinSrv25 50,     16434.50,     16477.65,     16508.45,     16405.60,     16487.55,53.05
,NIFTY AlphaLowVol,     15754.85,     15787.55,     15787.95,     15693.80,     15740.95,-13.9
,Nifty200Momentm30,     17834.25,     17881.15,     17903.80,     17735.65,     17789.20,-45.05
,Nifty100ESGSecLdr,      2675.40,      2678.00,      2679.80,      2662.45,      2677.30,1.9
,Nifty IT,     29003.10,     28983.50,     29028.35,     28704.00,     29007.95,4.85
,Nifty Next 50,     38642.25,     38681.80,     38726.70,     38443.55,     38533.85,-108.4
,Nifty Bank,     34684.00,     34728.10,     34894.45,     34632.60,     34809.90,125.9
,NIFTY MIDCAP 100,     26882.60,     26943.00,     27051.95,     26892.20,     27020.10,137.5
,Nifty 500,     13454.10,     13480.30,     13506.10,     13435.25,     13494.45,40.35
,Nifty 100,     15928.10,     15950.95,     15972.65,     15883.10,     15957.10,29
,Nifty Midcap 50,      7439.55,      7461.50,      7463.95,      7418.05,      7438.80,-.75
,Nifty Realty,       342.80,       344.70,       346.80,       343.90,       344.60,1.8
,Nifty Infra,      4327.35,      4341.80,      4346.15,      4326.70,      4338.30,10.95
,Nifty Energy,     19708.55,     19653.05,     19740.65,     19636.55,     19684.10,-24.45
,Nifty FMCG,     36234.90,     36298.55,     36328.25,     36053.35,     36216.70,-18.2
,Nifty MNC,     17504.25,     17551.25,     17557.80,     17412.40,     17479.05,-25.2
,Nifty Pharma,     14442.45,     14489.95,     14575.30,     14461.05,     14529.65,87.2
,Nifty PSE,      3604.65,      3618.60,      3624.95,      3591.85,      3598.95,-5.7
,Nifty PSU Bank,      2522.20,      2526.70,      2545.70,      2513.80,      2521.85,-.35
,Nifty Serv Sector,     21791.10,     21806.00,     21860.85,     21696.20,     21837.70,46.6
,India VIX,12.8400,12.8400,13.0200,12.0225,12.0900,-0.7500
,Nifty Auto,     10687.70,     10741.45,     10743.80,     10646.20,     10685.50,-2.2
,Nifty Metal,      5207.40,      5220.40,      5230.20,      5114.95,      5130.05,-77.35
,Nifty Media,      1794.75,      1806.35,      1811.25,      1799.35,      1805.10,10.35
,NIFTY SMLCAP 100,      9798.40,      9856.20,      9918.75,      9842.65,      9903.10,104.7
,Nifty 200,      8307.85,      8320.65,      8334.40,      8289.35,      8326.50,18.65
,Nifty Div Opps 50,      3340.35,      3347.95,      3348.35,      3320.85,      3333.60,-6.75
,Nifty Commodities,      5118.20,      5120.75,      5130.75,      5091.35,      5109.50,-8.7
,Nifty Consumption,      6370.00,      6395.50,      6395.50,      6352.50,      6377.85,7.85
,Nifty Fin Service,     16376.85,     16411.45,     16458.30,     16347.45,     16438.30,61.45
,Nifty50 Div Point,        72.08,        72.08,        72.08,        72.08,        72.08,0
,Nifty100 Liq 15,      3953.95,      3964.40,      3982.10,      3957.60,      3972.60,18.65
,Nifty CPSE,      2064.10,      2074.85,      2078.50,      2054.00,      2059.20,-4.9
,Nifty GrowSect 15,      7682.85,      7713.75,      7717.25,      7670.85,      7705.90,23.05
,Nifty50 PR 2x Lev,      7389.30,      7413.00,      7442.75,      7347.45,      7428.40,39.1
,Nifty50 PR 1x Inv,       280.45,       280.05,       281.30,       279.45,       279.75,-.7
,Nifty50 TR 2x Lev,      9953.60,      9985.55,     10025.60,      9897.25,     10006.30,52.7
,Nifty50 TR 1x Inv,       241.75,       241.40,       242.45,       240.90,       241.15,-.6
,Nifty50 Value 20,      8051.45,      8058.05,      8061.65,      7997.55,      8040.70,-10.75
,Nifty Mid Liq 15,      6296.85,      6320.25,      6322.20,      6283.75,      6302.80,5.95
,Nifty Pvt Bank,     18232.10,     18259.30,     18325.85,     18205.05,     18274.20,42.1
,NIFTY100 Qualty30,      3627.90,      3638.60,      3639.90,      3614.70,      3625.40,-2.5
,Nifty GS 8 13Yr,      2271.64,      2272.03,      2272.03,      2272.03,      2272.03,.39
,Nifty GS 10Yr,      2065.60,      2065.94,      2065.94,      2065.94,      2065.94,.34
,Nifty GS 10Yr Cln,       955.01,       955.01,       955.01,       955.01,       955.01,0
,Nifty GS 4 8Yr,      2421.52,      2421.91,      2421.91,      2419.56,      2420.21,-1.31
,Nifty GS 11 15Yr,      2423.42,      2423.87,      2423.87,      2420.48,      2421.35,-2.07
,Nifty GS 15YrPlus,      2591.75,      2592.25,      2592.25,      2591.40,      2591.40,-.35
,Nifty GS Compsite,      2312.62,      2313.01,      2313.01,      2311.00,      2311.53,-1.09

,ADVANCES,1165
,DECLINES,804
,UNCHANGED,60

,Total securities that have hit their price bands today,339

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HAPPSTMNDS,EQ,      1136.65,      1190.75,4.76,3325.26
,MAITHANALL,EQ,      1086.75,                474120189.30,440567
,MAJESCO,EQ,        91.60,                 12612329.85,136998
,MALUPAPER,EQ,        33.65,                  1878551.10,55371
,MAN50ETF,EQ,       161.55,                   212017.60,1316
,MANAKALUCO,BE,        18.95,                  2607722.15,138466
,MANAKCOAT,EQ,        14.45,                  6595798.30,440496
,MANAKSIA,EQ,        64.25,                  4211511.55,65005
,MANAKSTEEL,EQ,        24.50,                  1457002.90,59320
,MANALIPETC,BE,        81.30,                 34703427.30,425812
,MANAPPURAM,EQ,       173.10,               1639106462.10,9545103
,MANGALAM,EQ,       149.15,                 47981656.80,323151
,MANGCHEFER,EQ,        85.85,                 31249130.90,366894
,MANGLMCEM,EQ,       362.15,                774423488.60,2110777
,MANGTIMBER,BE,        13.20,                   111694.70,8524
,MANINDS,EQ,       108.30,                 19311263.80,177046
,MANINFRA,EQ,        58.45,                 22723983.90,386699
,MANUGRAPH,BE,        14.05,                   132486.45,9317
,MANXT50,EQ,       383.70,                  1231336.97,3199
,MARALOVER,EQ,        48.55,                  4102324.75,82690
,MARATHON,EQ,        66.75,                  2506317.30,37675
,MARINE,EQ,        58.95,                105023818.50,1751625
,MARKSANS,EQ,        86.10,                189253251.90,2185984
,MARSHALL,SM,        24.35,                   219150.00,9000
,MASFIN,EQ,       843.80,                 45101038.50,53060
,MASKINVEST,BE,        47.80,                    36997.20,774
,MASTEK,EQ,      2341.30,                479092255.30,207315
,MATRIMONY,EQ,       949.80,                 26403436.15,27555
,MAWANASUG,BE,        83.60,                  1454389.20,17397
,MAXHEALTH,EQ,       279.90,               1101374045.10,3992432
,MAXIND,EQ,        70.40,                 11972028.10,170280
,MAXVIL,EQ,        72.20,                 22943661.00,317374
,MAYURUNIQ,EQ,       510.90,                 18608732.95,36595
,MAZDA,EQ,       596.20,                  6952485.30,11541
,MAZDOCK,EQ,       246.05,                176201319.30,714203
,MBAPL,EQ,       123.45,                   739875.70,5908
,MBECL,BE,         9.55,                  1974075.00,206845
,MBLINFRA,EQ,        22.25,                  7411482.75,328843
,MC1RG,MF,        13.70,                   137000.00,10000
,MCDHOLDING,BE,        62.40,                  1325336.00,20905
,MCL,EQ,        84.10,                  5747762.10,66766
,MCLEODRUSS,BE,        34.30,                 36940913.50,1058188
,MCX,EQ,      1515.30,                 91633181.45,60496
,MDL,SM,        25.75,                    51500.00,2000
,MEGASOFT,BE,        13.70,                  2657465.80,194757
,MELSTAR,BZ,         3.10,                    54785.95,17453
,MENONBE,EQ,        74.95,                 10218830.75,134055
,MEP,EQ,        24.00,                 10830255.95,459029
,MERCATOR,BE,         1.90,                  1686848.70,886626
,METALFORGE,BZ,         6.35,                    99584.85,16123
,METROPOLIS,EQ,      2884.45,                364310036.00,126815
,MFSL,EQ,      1034.85,                677204071.95,652655
,MGEL,EQ,        56.15,                 14512392.65,255013
,MGL,EQ,      1141.55,                285822338.25,250609
,MHHL,SM,        23.45,                  6741750.00,324000
,MHRIL,EQ,       259.25,                130349198.25,507926
,MIDHANI,EQ,       199.75,                 96303831.95,479737
,MILTON,SM,        21.00,                    92400.00,4400
,MINDACORP,EQ,       125.80,                 25906556.70,205360
,MINDAIND,EQ,       639.75,                156008491.25,243676
,MINDSPACE,RR,       282.03,                 39146252.00,138800
,MINDTECK,EQ,        71.65,                  2089946.70,29183
,MINDTREE,EQ,      2583.10,                957762999.55,373108
,MIRCELECTR,EQ,        20.30,                 16489769.20,813048
,MIRZAINT,EQ,        53.65,                 30566630.15,565501
,MITCON,SM,        38.05,                    76100.00,2000
,MITTAL,EQ,        12.00,                   357858.50,29948
,MMFL,EQ,       717.25,                 17585303.60,24438
,MMP,EQ,       123.15,                 69137345.10,563901
,MMTC,EQ,        54.35,                178387204.55,3261336
,MODIRUBBER,BE,        74.30,                    62460.10,839
,MODISNME,EQ,        78.30,                  6519028.95,83079
,MOGSEC,EQ,        48.17,                   108907.51,2264
,MOHITIND,BE,        19.05,                   532956.00,28208
,MOHOTAIND,EQ,         9.65,                  1250831.70,129940
,MOIL,EQ,       192.30,                 94639442.75,489013
,MOKSH,EQ,        97.45,                  9557694.25,97113
,MOLDTECH,EQ,        75.45,                 51461351.20,681656
,MOLDTEKPP,E1,       353.20,                   176398.75,504
,MOLDTKPAC,EQ,       485.85,                 44401011.85,91830
,MOLDTKPAC,W1,       356.95,                    83627.00,260
,MOM100,EQ,        28.21,                  1580325.89,56054
,MOM50,EQ,       154.71,                   185157.39,1194
,MON100,EQ,       107.79,                 75692775.80,703872
,MONTECARLO,EQ,       323.65,                 19636853.50,59316
,MORARJEE,EQ,        23.00,                  2017963.60,89290
,MOREPENLAB,EQ,        63.30,                 92348654.35,1449855
,MOTILALOFS,EQ,       811.15,               1218972055.15,1486779
,MOTOGENFIN,EQ,        21.50,                   191455.55,8857
,MPHASIS,EQ,      2154.95,               1432449329.40,666544
,MPSLTD,EQ,       596.60,                 11546557.15,19368
,MPTODAY,SM,        20.00,                    80700.00,4000
,MRF,EQ,     81142.30,                548596045.25,6768
,MRO-TEK,EQ,        34.05,                   673145.65,20101
,MRPL,EQ,        50.90,                 81848532.70,1602123
,MSPL,BE,        10.80,                  1730226.05,159857
,MSTCLTD,EQ,       280.10,                125596581.70,445781
,MTARTECH,EQ,      1256.70,               2034752617.15,1642361
,MTEDUCARE,BE,         9.55,                  2302381.65,240086
,MTNL,EQ,        21.15,                 17149265.15,807690
,MUKANDLTD,BE,       143.50,                 23469037.40,165292
,MUKANDLTD,P1,         5.55,                      196.30,32
,MUKTAARTS,EQ,        36.90,                   280183.55,7521
,MUNJALAU,EQ,        67.35,                 24622906.25,360103
,MUNJALSHOW,EQ,       146.20,                 23125603.75,157191
,MURUDCERA,EQ,        28.60,                  4387362.50,152642
,MUTHOOTCAP,EQ,       396.50,                  8124383.15,20514
,NABARD,N2,      1238.56,                   741910.80,599
,NACLIND,EQ,        75.95,                  7220433.60,94524
,NAGAFERT,EQ,        14.00,                  2647792.00,189128
,NAGREEKCAP,EQ,         7.20,                      720.00,100
,NAGREEKEXP,EQ,        27.95,                  1374037.00,49896
,NAHARCAP,EQ,       178.55,                  3439615.20,19150
,NAHARINDUS,EQ,        83.90,                  5223830.25,62470
,NAHARPOLY,EQ,       171.10,                 22222513.30,128520
,NAHARSPING,EQ,       241.95,                 37613106.35,156282
,NAM-INDIA,EQ,       372.80,                223638279.30,600705
,NANDANI,SM,        41.00,                   809750.00,20000
,NARMADA,SM,        15.10,                   217440.00,14400
,NATCOPHARM,EQ,      1150.00,               1193913433.10,1032198
,NATHBIOGEN,EQ,       384.15,                 10826782.20,28001
,NATIONALUM,EQ,        79.00,               2759569266.65,34814972
,NAVINFLUOR,EQ,      3799.05,               2742620874.50,716101
,NAVKARCORP,EQ,        40.45,                 25658402.15,630879
,NAVNETEDUL,EQ,        91.90,                 19804819.80,215514
,NAZARA,EQ,      1661.20,               1552963829.95,951487
,NBCC,EQ,        54.05,                710415803.25,13184362
,NBIFIN,EQ,      2269.60,                  4445667.15,1955
,NBVENTURES,EQ,       106.55,                 36751337.10,341526
,NCC,EQ,        90.10,               1202629991.25,13408596
,NCLIND,EQ,       211.15,                 38599481.95,180941
,NCPSESDL24,EQ,       104.88,                 39968697.71,381090
,NDGL,EQ,      1728.55,                  2254690.90,1306
,NDL,BE,        50.65,                  2132914.20,42438
,NDRAUTO,EQ,       366.65,                196595418.00,526777
,NDTV,EQ,        73.30,                  3299667.85,45028
,NECCLTD,EQ,        15.05,                  2150892.90,140586
,NECLIFE,EQ,        40.35,                 30944487.60,765416
,NELCAST,EQ,        74.10,                 11295912.40,152593
,NELCO,EQ,       375.30,                329479745.15,886185
,NEOGEN,EQ,       863.05,                 44901543.20,51326
,NESCO,EQ,       603.75,                 22042204.80,36218
,NETF,EQ,       194.29,                    76013.63,393
,NETFCONSUM,EQ,        68.61,                  1040787.86,15090
,NETFDIVOPP,EQ,        40.24,                    68488.78,1691
,NETFGILT5Y,EQ,        48.15,                     1446.08,30
,NETFIT,EQ,        29.46,                 15196117.36,518356
,NETFLTGILT,EQ,        22.53,                   717482.59,31802
,NETFMID150,EQ,       103.36,                  4727218.63,45786
,NETFNIF100,EQ,       163.66,                   142829.41,870
,NETFNV20,EQ,        87.77,                 15229669.30,174189
,NETFSDL26,EQ,       103.52,                 42459867.54,410161
,NETWORK18,EQ,        50.65,                104851932.70,2045086
,NEULANDLAB,BE,      2198.15,                 43884267.55,20058
,NEWGEN,EQ,       657.90,                551918857.85,850557
,NEXTMEDIA,EQ,         5.85,                    68118.40,11505
,NFL,EQ,        65.90,                158395323.65,2380773
,NH,EQ,       477.25,                 39804691.85,83182
,NHAI,N4,      1140.00,                   115900.00,100
,NHAI,N8,      1132.50,                    11325.00,10
,NHAI,NE,      1275.00,                   629850.00,494
,NHAI,N6,      1289.08,                  2960752.79,2298
,NHAI,N2,      1255.33,                  2931947.46,2343
,NHAI,N1,      1085.00,                  1577905.49,1456
,NHAI,NA,      1240.50,                   350195.00,280
,NHAI,NC,      1150.06,                    23002.97,20
,NHBTF2014,N6,      7190.00,                   173060.00,24
,NHPC,EQ,        26.25,                 95269820.55,3626828
,NIACL,EQ,       172.35,                114530895.40,667684
,NIBL,BE,        21.15,                   288745.75,14129
,NIFTYBEES,EQ,       169.34,                142477258.70,843371
,NIITLTD,EQ,       313.70,               1870629604.15,6120219
,NILAINFRA,EQ,         6.05,                  2941081.60,487293
,NILASPACES,BE,         2.00,                   594976.00,297488
,NILKAMAL,EQ,      2272.45,                 50184192.60,22278
,NIPPOBATRY,EQ,       991.50,                  8789350.35,8774
,NIRAJ,EQ,        45.25,                  4202073.25,90306
,NITCO,EQ,        28.05,                  2065948.50,73635
,NITINFIRE,BZ,         1.45,                    81782.90,56402
,NITINSPIN,EQ,       144.30,                 50061605.85,346917
,NITIRAJ,EQ,        50.30,                    74076.55,1462
,NKIND,BE,        26.00,                     8301.40,324
,NLCINDIA,EQ,        60.20,                234019659.40,3848899
,NOCIL,EQ,       230.45,               1066110255.95,4601895
,NOIDATOLL,EQ,         6.50,                  2695321.10,400519
,NORBTEAEXP,EQ,         6.30,                     4513.20,710
,NOVARTIND,EQ,       861.05,                 22778814.40,26297
,NPBET,EQ,       184.73,                    73756.96,399
,NRAIL,EQ,       238.75,                 14497949.35,60998
,NRBBEARING,EQ,       144.90,                112398490.35,764413
,NSIL,EQ,      1715.45,                  1098152.95,640
,NTL,BE,         1.30,                    15015.00,11550
,NTPC,ND,      1350.00,                     6750.00,5
,NTPC,N7,        13.91,                   465359.57,33469
,NTPC,N6,      1430.00,                   257670.00,180
,NUCLEUS,EQ,       724.20,               1068084701.25,1447082
,NURECA,EQ,      1600.35,                 16708916.90,10468
,NXTDIGITAL,EQ,       482.90,                  2406906.70,4983
,OAL,EQ,       823.20,                117109807.40,140124
,OBEROIRLTY,EQ,       648.15,                415663252.55,642353
,OCCL,EQ,      1050.05,                 10814949.30,10240
,OIL,EQ,       169.20,                554863959.75,3304623
,OILCOUNTUB,BE,         9.10,                   516014.80,55405
,OLECTRA,EQ,       243.10,                904894062.10,3790256
,OMAXAUTO,EQ,        62.35,                  6568660.10,104280
,OMAXE,EQ,        92.20,                158527179.95,1736217
,OMINFRAL,EQ,        32.50,                 44931376.95,1386479
,OMKARCHEM,BE,         9.25,                   337179.80,38983
,ONEPOINT,BE,        34.45,                  5291469.10,155091
,ONMOBILE,EQ,       125.40,                805202801.80,6568875
,ONWARDTEC,BE,       204.25,                  9234266.55,45728
,OPTIEMUS,BE,       164.85,                 21739084.45,131933
,OPTOCIRCUI,BE,         5.00,                  6717125.90,1427539
,ORBTEXP,EQ,        71.75,                 15019677.30,207509
,ORCHPHARMA,EQ,       824.65,                  1288927.95,1563
,ORICONENT,EQ,        27.35,                  2494775.35,92062
,ORIENTABRA,EQ,        30.45,                  7419233.85,240535
,ORIENTALTL,EQ,        12.05,                  1829691.70,150535
,ORIENTBELL,EQ,       316.20,                  4133589.15,13014
,ORIENTCEM,EQ,       138.05,                153955939.15,1118611
,ORIENTELEC,EQ,       316.65,                128735840.65,404593
,ORIENTHOT,EQ,        38.10,                  4232140.60,111599
,ORIENTLTD,EQ,        81.55,                   879464.45,10819
,ORIENTPPR,EQ,        30.15,                 96858964.20,3204525
,ORIENTREF,EQ,       322.65,                 30557360.45,94210
,ORISSAMINE,EQ,      3269.05,                112711072.80,34288
,ORTEL,BZ,         1.30,                        1.30,1
,ORTINLAB,EQ,        36.70,                  6218959.15,169078
,OSIAHYPER,SM,       190.00,                   150000.00,800
,OSWALAGRO,EQ,        14.00,                  2890224.80,203081
,OSWALSEEDS,SM,        41.85,                   501800.00,12000
,PAEL,BZ,         9.00,                    63371.90,6911
,PAGEIND,EQ,     29759.50,                330803992.35,11104
,PAISALO,EQ,       604.55,                  5744402.70,9505
,PALASHSECU,BE,        82.35,                   139190.90,1685
,PALREDTEC,EQ,       124.15,                  2388475.30,19101
,PANACEABIO,EQ,       378.40,                 52862403.35,140060
,PANACHE,EQ,        72.10,                 74196073.10,1056595
,PANAMAPET,EQ,       240.90,                 21559006.15,89187
,PAR,SM,        92.40,                  2767200.00,30000
,PARACABLES,EQ,        17.25,                 28406811.25,1638463
,PARAGMILK,EQ,       137.95,                 79851586.65,576712
,PARSVNATH,EQ,        12.90,                 10668947.25,827039
,PATELENG,EQ,        18.75,                 29678462.40,1565793
,PATINTLOG,EQ,        25.65,                  1886165.50,73360
,PATSPINLTD,BE,         7.50,                    80262.55,10893
,PBAINFRA,EQ,        16.30,                   356366.90,21863
,PCJEWELLER,EQ,        26.65,                 32089178.75,1198491
,PDMJEPAPER,EQ,        38.90,                 10442191.05,268378
,PDSMFL,EQ,       997.95,                  2228267.10,2235
,PEARLPOLY,EQ,        16.40,                   320157.45,19260
,PENIND,EQ,        32.20,                239633890.90,7469488
,PENINLAND,BE,        13.00,                  5093301.60,392234
,PERFECT,SM,         9.75,                    58500.00,6000
,PERSISTENT,EQ,      2929.50,                419922670.15,143110
,PFC,N4,      1080.00,                   108000.00,100
,PFC,N8,      1440.00,                     8640.00,6
,PFC,N3,      1330.00,                   130340.00,98
,PFC,N5,      1245.21,                   309575.79,249
,PFIZER,EQ,      5720.25,                247263621.85,43166
,PFOCUS,BE,        58.60,                  3865956.55,66443
,PFS,EQ,        19.95,                 17664155.35,882858
,PGEL,EQ,       408.15,                 14895097.75,36246
,PGHL,EQ,      5696.60,                 73791147.90,12827
,PGIL,EQ,       211.95,                  2205638.05,10369
,PGINVIT,IV,       112.98,                215476415.00,1906500
,PHILIPCARB,EQ,       236.05,                611450382.40,2602541
,PHOENIXLTD,EQ,       826.85,                113403311.85,136751
,PIGL,SM,        66.00,                   396200.00,6000
,PIIND,EQ,      3027.15,               2161996595.90,723253
,PILANIINVS,EQ,      1918.65,                  8299002.95,4330
,PILITA,EQ,         8.80,                 56951287.45,6637754
,PIONDIST,EQ,       132.15,                  2223219.85,16805
,PIONEEREMB,EQ,        53.30,                  8384333.65,156060
,PITTIENG,EQ,       137.75,                 28253918.90,203872
,PKTEA,BE,       359.05,                   977472.80,2664
,PLASTIBLEN,EQ,       265.95,                 13800406.15,51642
,PNBGILTS,EQ,        77.60,                122165915.40,1575157
,PNBHOUSING,BE,       692.75,                 33324036.35,48643
,PNC,BE,        43.30,                  4499872.35,103654
,PNCINFRA,EQ,       291.20,                478052786.05,1641031
,PODDARHOUS,EQ,       174.95,                  1681023.35,9577
,PODDARMENT,EQ,       267.05,                  6598271.60,24697
,POKARNA,EQ,       343.60,                 23148752.25,67478
,POLYCAB,EQ,      1989.60,                451655543.75,225205
,POLYMED,EQ,      1002.45,                 89702794.35,89719
,POLYPLEX,EQ,      1384.45,                119975816.60,86047
,PONNIERODE,EQ,       368.90,                 45245043.85,125094
,POWERINDIA,EQ,      1874.55,                 38492455.10,20354
,POWERMECH,EQ,       841.50,                647201731.50,748825
,PPAP,EQ,       247.20,                 42982153.80,172673
,PPL,EQ,       182.80,                 34532272.90,186957
,PRAENG,EQ,        14.30,                 52212444.35,3795024
,PRAJIND,BE,       367.95,                150738295.30,413440
,PRAKASH,EQ,        75.60,                 56418397.75,743391
,PRAKASHSTL,BE,         1.50,                   567679.50,378453
,PRAXIS,EQ,        54.75,                   818966.00,14986
,PRECAM,EQ,        75.70,                 16157542.50,210423
,PRECOT,EQ,       226.20,                  3706218.10,16585
,PRECWIRE,EQ,       233.05,                  7853097.85,33441
,PREMEXPLN,EQ,       185.05,                 20148579.50,110096
,PREMIER,BE,         4.20,                    36906.60,9079
,PREMIERPOL,EQ,        74.95,                 38408003.00,494912
,PRESSMN,EQ,        29.00,                 18259895.05,607382
,PRESTIGE,EQ,       284.85,                 72343840.00,251520
,PRICOLLTD,EQ,       101.15,                884326801.95,8829588
,PRIMESECU,EQ,        67.10,                  6667042.10,99101
,PRINCEPIPE,EQ,       740.10,                253665498.45,342600
,PRIVISCL,EQ,      1350.25,                415468817.05,311717
,PROINDIA,EQ,         5.35,                     1203.75,225
,PROLIFE,SM,        96.00,                   288000.00,3000
,PROZONINTU,BE,        37.25,                  4719351.50,126694
,PRSMJOHNSN,EQ,       134.30,                108100286.80,803878
,PSB,EQ,        21.45,                 23882881.95,1103119
,PSPPROJECT,EQ,       446.30,                125255528.65,276280
,PSUBNKBEES,EQ,        27.67,                 12127602.90,438336
,PTC,EQ,       102.90,                 44601428.45,432188
,PTL,EQ,        51.70,                 11682016.45,224818
,PUNJABCHEM,EQ,      1356.45,                 32148548.55,23890
,PUNJLLOYD,BZ,         2.25,                  1536506.55,682595
,PURVA,EQ,        91.60,                 57667171.00,637152
,PVR,EQ,      1354.50,                397565163.70,295404
,QGOLDHALF,EQ,      2048.00,                   621696.30,304
,QNIFTY,EQ,      1629.00,                    21153.00,13
,QUESS,EQ,       804.20,                234099547.75,288211
,QUICKHEAL,EQ,       287.70,                291313250.65,1005910
,RADAAN,BE,         1.45,                      145.00,100
,RADICO,EQ,       761.50,                944168493.65,1230577
,RADIOCITY,EQ,        26.10,                 15267000.30,584600
,RAILTEL,EQ,       141.90,                229782391.15,1627721
,RAIN,EQ,       191.50,                328417348.60,1712693
,RAJESHEXPO,EQ,       572.35,                 98593324.25,172980
,RAJMET,BE,       146.35,                   211628.40,1447
,RAJRATAN,EQ,      1697.50,                 48417426.10,28229
,RAJRAYON,BZ,          .35,                   245135.55,796911
,RAJSREESUG,BE,        34.70,                  1730801.30,49879
,RAJTV,EQ,        56.05,                  7693963.35,134113
,RALLIS,EQ,       323.30,                 92841655.15,286467
,RAMANEWS,EQ,        19.90,                  3870144.20,190908
,RAMASTEEL,EQ,       144.45,                  5106596.40,35352
,RAMCOCEM,EQ,      1009.45,                298191422.15,296971
,RAMCOIND,EQ,       280.80,                149986675.80,539412
,RAMCOSYS,EQ,       626.85,                268799910.10,428671
,RAMKY,BE,       190.95,                 44424740.55,233620
,RANASUG,EQ,        33.15,                  6247449.00,188460
,RANEENGINE,EQ,       307.95,                  2925262.00,9545
,RANEHOLDIN,EQ,       645.00,                 16105555.90,24841
,RATNAMANI,EQ,      2056.95,                 24614092.80,11989
,RAYMOND,EQ,       411.60,                107784072.10,262447
,RBL,EQ,       935.30,                  5555059.90,5941
,RBLBANK,EQ,       210.90,                921466858.25,4359443
,RCF,EQ,        84.10,                610149281.45,7146897
,RCOM,EQ,         3.65,               1238607846.15,331386157
,RECLTD,EQ,       144.45,                419770241.10,2892820
,RECLTD,NI,      1194.99,                   584049.10,490
,RECLTD,NA,      1439.99,                     1439.99,1
,RECLTD,N8,      1132.00,                   215080.00,190
,RECLTD,N9,      1294.04,                  1708902.10,1320
,RECLTD,N1,      1078.00,                  1027320.00,951
,REDINGTON,EQ,       293.00,               2394347834.35,7927930
,REFEX,EQ,       147.75,                 28560018.40,191936
,RELAXO,EQ,      1197.05,                487176660.80,414469
,RELCAPITAL,EQ,        23.05,                890535853.15,39301958
,RELIANCEP1,E1,      1505.05,                709844417.05,473602
,RELIGARE,EQ,       138.90,                920633159.05,6751222
,RELINFRA,BE,        87.75,                215443965.50,2511910
,REMSONSIND,EQ,       271.55,                 16713586.30,61864
,RENUKA,BE,        43.35,                134524413.60,3103216
,REPCOHOME,EQ,       356.25,                 53375433.50,147470
,REPL,EQ,       249.90,                  7280622.40,29067
,REPRO,EQ,       348.15,                  4408761.65,12621
,RESPONIND,EQ,       141.75,                  2358644.05,16607
,REVATHI,EQ,       672.25,                  5338898.15,7866
,RGL,EQ,       565.30,                 23832532.85,41187
,RHFL,N6,       216.00,                   115080.00,525
,RHFL,BE,         6.10,                 16230185.85,2831285
,RHFL,N4,       220.00,                    31184.85,143
,RHFL,N8,       185.00,                    60547.55,338
,RICOAUTO,EQ,        47.80,                 40536658.00,840419
,RIIL,EQ,       774.90,                313056149.85,403968
,RITES,EQ,       273.15,                126896818.70,462619
,RKDL,EQ,        12.85,                   800390.50,62854
,RKEC,EQ,       105.70,                104644531.25,1023315
,RKFORGE,EQ,       693.80,                 89870427.70,129205
,RMCL,BZ,         2.85,                    82553.85,28441
,RMDRIP,SM,        22.35,                    44700.00,2000
,RML,EQ,       377.45,                  6601374.00,17375
,RNAVAL,BZ,         4.75,                 53060022.00,11147250
,ROHLTD,EQ,        80.70,                  1376248.90,16990
,ROLLT,EQ,         3.05,                   331653.80,110454
,ROLTA,EQ,         9.15,                  8132862.20,895675
,ROML,EQ,        82.65,                  4884741.95,57499
,ROSSARI,EQ,      1198.15,                121598516.30,100747
,ROSSELLIND,EQ,       154.75,                 64384343.95,411956
,ROUTE,EQ,      2102.20,              18702280245.75,9318553
,RPGLIFE,EQ,       442.95,                 17270006.90,38619
,RPOWER,BE,        14.90,                863203543.05,60584226
